C0 (279 genes)	C1 (129 genes)	C2 (65 genes)	C3 (67 genes)	C4 (89 genes)	C5 (235 genes)	C6 (103 genes)	C7 (37 genes)
MED134_02120	MED134_04409	MED134_07069	MED134_05769	MED134_05794	MED134_02020	MED134_03869	MED134_12616
MED134_02140	MED134_04444	MED134_07169	MED134_05779	MED134_05809	MED134_02095	MED134_04029	MED134_12946
MED134_02145	MED134_04634	MED134_07279	MED134_05804	MED134_05994	MED134_02170	MED134_04059	MED134_13981
MED134_02175	MED134_04659	MED134_07289	MED134_05834	MED134_06064	MED134_02225	MED134_04189	MED134_14787
MED134_02235	MED134_04674	MED134_07626	MED134_05989	MED134_06279	MED134_02285	MED134_04349	
MED134_02240	MED134_04784	MED134_07631	MED134_06169	MED134_06284	MED134_02290	MED134_04539	
MED134_02310	MED134_05059	MED134_08896	MED134_06364	MED134_06449	MED134_02295	MED134_04554	
MED134_02330	MED134_05089	MED134_09756	MED134_06484	MED134_06549	MED134_02500	MED134_04609	
MED134_02340	MED134_05129	MED134_09896	MED134_06714	MED134_06709	MED134_02785	MED134_04829	
MED134_02345	MED134_05149	MED134_10635	MED134_06854	MED134_07144	MED134_02905	MED134_04859	
MED134_02350	MED134_05234	MED134_11075	MED134_07284	MED134_07299	MED134_02950	MED134_04994	
MED134_02355	MED134_05299	MED134_11401	MED134_07319	MED134_07486	MED134_03055	MED134_05069	
MED134_02480	MED134_05304	MED134_11516	MED134_07446	MED134_07496	MED134_03060	MED134_05104	
MED134_02540	MED134_05329	MED134_11826	MED134_07641	MED134_07876	MED134_03065	MED134_05109	
MED134_02660	MED134_05599	MED134_11831	MED134_08196	MED134_08336	MED134_03339	MED134_05114	
MED134_02805	MED134_05604	MED134_11856	MED134_09261	MED134_08711	MED134_03379	MED134_05474	
MED134_02925	MED134_05614	MED134_11871	MED134_09356	MED134_09096	MED134_03419	MED134_05749	
MED134_02940	MED134_05869	MED134_11976	MED134_09666	MED134_09166	MED134_03424	MED134_07094	
MED134_02955	MED134_05954	MED134_12406	MED134_09986	MED134_09221	MED134_03429	MED134_07354	
MED134_03045	MED134_05959	MED134_12496	MED134_10031	MED134_09256	MED134_03509	MED134_07359	
MED134_03100	MED134_06034	MED134_12501	MED134_10121	MED134_09461	MED134_03689	MED134_07596	
MED134_03174	MED134_06239	MED134_12541	MED134_10386	MED134_09886	MED134_03744	MED134_07691	
MED134_03204	MED134_06414	MED134_12546	MED134_11100	MED134_09956	MED134_03819	MED134_07746	
MED134_03219	MED134_06639	MED134_12646	MED134_11105	MED134_10041	MED134_03949	MED134_07751	
MED134_03259	MED134_06674	MED134_12756	MED134_12201	MED134_10366	MED134_04194	MED134_08081	
MED134_03264	MED134_06684	MED134_12786	MED134_12291	MED134_10461	MED134_04234	MED134_08201	
MED134_03294	MED134_06689	MED134_13016	MED134_12356	MED134_10900	MED134_04259	MED134_08391	
MED134_03319	MED134_06969	MED134_13166	MED134_12366	MED134_11245	MED134_04389	MED134_08396	
MED134_03364	MED134_07024	MED134_13496	MED134_12611	MED134_11281	MED134_04399	MED134_08401	
MED134_03394	MED134_07029	MED134_13696	MED134_12681	MED134_11301	MED134_04524	MED134_08956	
MED134_03409	MED134_07034	MED134_14121	MED134_13971	MED134_11596	MED134_04534	MED134_09026	
MED134_03644	MED134_07039	MED134_14301	MED134_14231	MED134_11646	MED134_04584	MED134_09251	
MED134_03649	MED134_07049		MED134_14497	MED134_11816	MED134_04709	MED134_09331	
MED134_03659	MED134_07189		MED134_14632	MED134_11981	MED134_04744	MED134_09421	
MED134_03684	MED134_07219			MED134_12161	MED134_04804	MED134_09426	
MED134_03714	MED134_07264			MED134_12196	MED134_04854	MED134_09466	
MED134_03724	MED134_07379			MED134_12256	MED134_04944	MED134_09636	
MED134_03749	MED134_07384			MED134_12311	MED134_04969	MED134_09961	
MED134_03754	MED134_07581			MED134_12361	MED134_04974	MED134_10141	
MED134_03789	MED134_07726			MED134_12396	MED134_05039	MED134_10176	
MED134_03794	MED134_07731			MED134_12401	MED134_05054	MED134_10286	
MED134_03799	MED134_07736			MED134_12411	MED134_05184	MED134_10406	
MED134_03884	MED134_07776			MED134_12416	MED134_05384	MED134_10416	
MED134_03974	MED134_07786			MED134_12591	MED134_05434	MED134_10490	
MED134_03999	MED134_07896			MED134_12911	MED134_05444	MED134_10580	
MED134_04039	MED134_08151			MED134_12951	MED134_05449	MED134_10875	
MED134_04139	MED134_08161			MED134_12976	MED134_05529	MED134_10880	
MED134_04144	MED134_08546			MED134_13411	MED134_05544	MED134_11135	
MED134_04199	MED134_08576			MED134_13416	MED134_05724	MED134_11210	
MED134_04204	MED134_08661			MED134_13421	MED134_05789	MED134_11311	
MED134_04224	MED134_08786			MED134_13456	MED134_05914	MED134_11456	
MED134_04254	MED134_08791			MED134_14066	MED134_06079	MED134_11481	
MED134_04274	MED134_08861			MED134_14081	MED134_06114	MED134_11696	
MED134_04289	MED134_09296			MED134_14532	MED134_06129	MED134_11746	
MED134_04329	MED134_09336			MED134_14607	MED134_06204	MED134_11751	
MED134_04374	MED134_09351			MED134_14637	MED134_06254	MED134_11991	
MED134_04379	MED134_09401				MED134_06259	MED134_12021	
MED134_04414	MED134_09431				MED134_06269	MED134_12106	
MED134_04419	MED134_09436				MED134_06274	MED134_12281	
MED134_04494	MED134_09481				MED134_06339	MED134_12641	
MED134_04499	MED134_09646				MED134_06544	MED134_12896	
MED134_04574	MED134_09901				MED134_06604	MED134_12941	
MED134_04579	MED134_09971				MED134_06619	MED134_13426	
MED134_04749	MED134_09976				MED134_06634	MED134_13736	
MED134_04754	MED134_10046				MED134_06644	MED134_13961	
MED134_04759	MED134_10081				MED134_06649	MED134_14251	
MED134_04964	MED134_10216				MED134_06729	MED134_14361	
MED134_05029	MED134_10221				MED134_06879	MED134_14366	
