ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07259	101.666173276106	140.493524935193	97.11388913274799	368.485527301335	689.886741139417	388.813407832471		257.711851984944	309.247800019804	283.03451632874396	238.038220786903	180.78656588316	207.308461117808	35.489451032079	130.149942737764	153.00123783062202	225.794808392194	240.69271888103702	148.004050093461		179.229681070543	181.224662760163	245.066811788781	126.985824840181	128.923786949298	236.843893371891	232.208375872823
MED134_07254	1152.38481271775	1455.28756530615	911.135520622636	3105.5960240956592	5748.210726724136	3428.909130805042		2233.115762470138	2543.12881836511	2799.746837197849	2264.520467186138	1538.81713567955	2350.247010281239	410.490987789008	1427.944033667359	1297.996416713311	2367.544394428098	2196.4785812023492	1469.504619402536		1805.8569510495859	1632.0679946409512	2339.862331699488	1698.4072132265778	1543.95622526174	2152.109078355613	2409.00259097042
MED134_07249	465.948938066918	762.327021264896	926.5580737355291	2236.9528077373097	3654.8779190511023	2664.5675113074954		1006.082305046328	1298.493290644954	1452.2436305599601	1194.583966140505	958.595064315287	1140.1965361479452	152.286003499883	601.19083869615	843.661755080124	1657.8092510900592	1903.488753245065	1192.8123020244211		622.882098852069	620.295671092507	1152.946337309927	851.459127480787	819.229306391414	1286.323428765844	971.655684771901
MED134_07244	560.29918324127	907.398029468654	600.997616618052	2265.449021848613	3801.986121205831	2626.040442422045		992.538889401473	1570.561860774736	1341.61891315912	1038.362803940103	791.850173452178	930.6347221919	154.593367189275	509.483761606907	817.443233104454	1285.11577349534	1310.578155163765	722.209593591652		729.889293307015	630.2329541875811	937.400775126065	705.526927353617	730.04658969105	966.02469894992	1077.181774356258
MED134_07239	22.452331070901	30.281812392046003	19.519168783505	86.96258444311499	153.871797656095	99.638971255473		83.19526753267701	100.41866764688001	145.930478273448	121.07826455250799	102.80512068251801	135.952287906968	6.5924676839770004	23.62151985632	34.119994351899	59.089577050004	65.528907758188	34.617896462538		62.789345506621004	68.253444416165	99.48256716178199	69.695594805712	81.985515001738	143.13203792356398	141.21124065153
MED134_07234	59.788791728131	90.493323078558	47.472546300624	242.70913398247902	434.561010962819	261.718364497711		183.029588571889	248.093178892292	431.907141341576	322.600818252147	227.17424228868703	207.684019924181	18.349035053737	71.790893680973	84.40209129154	144.918012988557	148.700213758965	73.751170724538		159.18425621396898	124.216038688423	188.04631597654	181.794981920401	178.365433400728	225.65441809447898	238.835618213869
MED134_07229	72.907007634726	97.887719127778	64.581941160239	329.180404389193	617.178089499723	366.671414220144		273.190041293349	320.714291481212	576.072331571394	449.444714450013	315.937687951154	347.76745470125	28.457485502503	95.875580593299	103.437456561547	225.134589654205	199.10706588064798	120.660928974499		220.49967342231298	193.77702035394	268.117650521389	255.55051428761098	288.826833383985	365.52285906213103	356.341722799349
MED134_07224	33.300086532124	36.267752050938995	42.652998452844	97.771493243954	195.29882010196698	118.681085762075		99.44736630650199	82.69772629743001	371.887347858142	275.926657313538	189.562612770692	332.745102446337	9.888701525966	35.200696256477	42.021466728128	86.818764045536	90.732333819029	55.18795088230699		58.072774952132995	61.715758169405994	89.372550173796	279.910139656598	229.371688917076	322.629870498718	240.36498183103402
MED134_07219	187.186850051788	269.719398747764	159.28605636909802	728.127401947439	1366.2462912761	821.025123145105		495.30205786896096	777.984072184653	896.1778968163769	770.9473171506639	516.533045380458	524.280093696486	58.453213464601	213.056845762888	218.727121687439	497.80492844361	436.64935650408097	251.60688515888398		445.126346079803	378.924294862159	561.7125438525039	405.31709988953	386.45843903491004	639.66500335873	623.470567930763
MED134_07214	193.493684622266	308.80406357935897	160.490943331043	1347.674401850085	2171.959605376424	1895.797493087483		588.171193719391	823.502568592063	1101.539739225383	1121.552631965976	732.92528720732	600.894090196545	72.517144523754	222.320186883014	272.241639144629	811.0787196193301	669.7810475668659	351.19605106923		419.77477934943	361.141788270974	475.57519911486304	614.178332219916	515.069304171225	849.4676648102089	1097.063501379398
