C0 (300 genes)	C1 (88 genes)	C2 (142 genes)	C3 (297 genes)	C4 (131 genes)	C5 (90 genes)
MED134_05879		MED134_14301	MED134_08921		
MED134_05884		MED134_14502	MED134_08926		
MED134_05889		MED134_14677	MED134_08936		
MED134_05894		MED134_15422	MED134_08976		
MED134_05899			MED134_09021		
MED134_05904			MED134_09026		
MED134_05909			MED134_09231		
MED134_05934			MED134_09331		
MED134_05959			MED134_09811		
MED134_06289			MED134_09876		
MED134_06344			MED134_10016		
MED134_06359			MED134_10036		
MED134_06429			MED134_10056		
MED134_06434			MED134_10131		
MED134_06459			MED134_10136		
MED134_06494			MED134_10181		
MED134_06684			MED134_10256		
MED134_06789			MED134_10321		
MED134_06794			MED134_10336		
MED134_06839			MED134_10371		
MED134_06894			MED134_10535		
MED134_06959			MED134_10540		
MED134_06974			MED134_10545		
MED134_07054			MED134_10550		
MED134_07074			MED134_10570		
MED134_07089			MED134_10690		
MED134_07129			MED134_10825		
MED134_07194			MED134_10835		
MED134_07229			MED134_10855		
MED134_07234			MED134_10865		
MED134_07269			MED134_10875		
MED134_07491			MED134_10880		
MED134_07576			MED134_11055		
MED134_07611			MED134_11215		
MED134_07721			MED134_11286		
MED134_07776			MED134_11291		
MED134_07871			MED134_11346		
MED134_07891			MED134_11351		
MED134_07946			MED134_11421		
MED134_08006			MED134_11451		
MED134_08046			MED134_11501		
MED134_08166			MED134_11836		
MED134_08501			MED134_12006		
MED134_08506			MED134_12011		
MED134_08511			MED134_12016		
MED134_08536			MED134_12021		
MED134_08541			MED134_12061		
MED134_08576			MED134_12076		
MED134_08581			MED134_12081		
MED134_08621			MED134_12106		
MED134_08631			MED134_12191		
MED134_08651			MED134_12281		
MED134_08656			MED134_12306		
MED134_08726			MED134_12391		
MED134_08801			MED134_12416		
MED134_08811			MED134_12421		
MED134_08816			MED134_12436		
MED134_08856			MED134_12451		
MED134_08911			MED134_12476		
MED134_08986			MED134_12491		
MED134_09101			MED134_12596		
MED134_09111			MED134_12601		
MED134_09121			MED134_12631		
MED134_09126			MED134_12896		
MED134_09131			MED134_12901		
MED134_09156			MED134_12921		
MED134_09301			MED134_12926		
MED134_09306			MED134_12931		
MED134_09486			MED134_12936		
MED134_09621			MED134_12941		
MED134_09746			MED134_13011		
MED134_09996			MED134_13101		
MED134_10071			MED134_13206		
MED134_10076			MED134_13366		
MED134_10086			MED134_13401		
MED134_10091			MED134_13451		
MED134_10096			MED134_13516		
MED134_10101			MED134_13536		
MED134_10106			MED134_13711		
MED134_10226			MED134_13741		
MED134_10625			MED134_13891		
MED134_10630			MED134_13896		
MED134_10840			MED134_14056		
MED134_10960			MED134_14061		
MED134_10970			MED134_14181		
MED134_10980			MED134_14191		
MED134_10990			MED134_14246		
MED134_10995			MED134_14251		
MED134_11125			MED134_14346		
MED134_11140			MED134_14361		
MED134_11165			MED134_14411		
MED134_11366			MED134_14431		
MED134_11456			MED134_14436		
MED134_11471			MED134_14667		
MED134_11591			MED134_14717		
MED134_11631			MED134_14782		
MED134_11786			MED134_14802		
MED134_11861			MED134_15094		
MED134_11896			MED134_15124		
MED134_12036			MED134_15379		
MED134_12041			MED134_16545		
MED134_12046			MED134_17819		
MED134_12096			MED134_17896		
MED134_12101			MED134_00090		
MED134_12141			MED134_00375		
MED134_12146			MED134_00820		
MED134_12206			MED134_01145		
MED134_12211			MED134_01150		
MED134_12216			MED134_01185		
MED134_12221			MED134_01465		
MED134_12231			MED134_01515		
MED134_12236			MED134_01890		
MED134_12241			MED134_01900		
MED134_12246			MED134_02150		
MED134_12346			MED134_02365		
MED134_12551			MED134_02390		
MED134_12556			MED134_02395		
MED134_12701			MED134_02405		
MED134_12711			MED134_02415		
MED134_12736			MED134_02445		
MED134_12741			MED134_02450		
MED134_12791			MED134_02455		
MED134_12796			MED134_02510		
MED134_12801			MED134_02970		
MED134_12806			MED134_03144		
MED134_12811			MED134_03514		
MED134_12816			MED134_03589		
MED134_12831			MED134_03869		
MED134_12846			MED134_04174		
MED134_12856			MED134_04229		
MED134_13056			MED134_04539		
MED134_13091			MED134_04554		
MED134_13136			MED134_05404		
MED134_13151			MED134_05749		
MED134_13376			MED134_05919		
MED134_13441			MED134_06114		
MED134_13501			MED134_07691		
MED134_13506			MED134_07746		
MED134_13511			MED134_07751		
MED134_13661			MED134_08391		
MED134_13781			MED134_09196		
MED134_13816			MED134_09466		
MED134_13906			MED134_09961		
MED134_13916			MED134_10261		
MED134_13946			MED134_10266		
MED134_14126			MED134_10376		
MED134_14141			MED134_10490		
MED134_14166			MED134_10580		
MED134_14176			MED134_10920		
MED134_14311			MED134_11311		
MED134_14522			MED134_11996		
MED134_14597			MED134_12276		
MED134_14622			MED134_12441		
MED134_14627			MED134_12516		
MED134_14722			MED134_13226		
MED134_14752			MED134_13386		
MED134_15304			MED134_13426		
MED134_15306			MED134_14156		
MED134_15821			MED134_14366		
MED134_15830					
MED134_16706					
MED134_17467					
