ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_02980	410.701067229531	534.509200129382	193.263868695941	831.7946636282151	1657.9263472725438	850.252554713377	564.566955024074	646.2931550975679	305.983260895939	245.72572964737998	142.673447971592	283.922457617867	138.00232351793198	474.28306535043	372.44667518862803	566.467677194452	446.10064127689697	326.36147317219104	550.6596122364709	411.874233545825	590.829392777903	274.4968895746	211.848067389987	338.48162714171906	344.87149567061397
MED134_03319	171.04135355136398	275.705338406657	245.79694023673298	890.752347996429	1549.708819250675	942.3632481406589	761.5269139735279	1055.264683887804	2793.274114371204	2456.708188698055	1392.382524756157	1666.729982682668	80.867603590125	218.15168337895702	316.77721071974	527.184662284114	562.036401156768	304.286292819268	612.564600764126	543.93549573036	796.669338653299	2158.533470196328	2487.72841322068	2661.696431614427	2282.320304681953
MED134_03404	138.750360550517	221.83188147662102	205.553715707778	1274.959924462622	2264.959043520218	1480.413692920218	1077.6689305977009	1393.699916718466	2872.1236469866967	2776.8380219593355	1847.232497727105	2084.351375369267	294.573431012401	1044.441711294159	1087.529925237384	2257.6179745529503	1890.887040214644	1148.411086996382	1525.2210030575511	1402.987468554511	2285.672640643883	2382.506692338956	2388.5321985048367	4879.077449088279	3463.498805005404
MED134_03409	63.572892470418	84.859497517247	64.34096376785	703.56170012735	1206.456347556308	674.887965303743	598.232016769855	795.010074657654	1430.471744688518	1077.624009906109	919.228225419786	997.484189726265	159.647592413658	485.39907469458	522.574650336986	981.745263389453	906.0631668872569	439.747626803114	782.9507120450049	683.057459061395	1002.913685208214	1165.202080149867	1246.0546593012261	1736.699808681685	1561.22535918885
MED134_03869	5136.03380081451	6604.604128344414	4547.0024169871795	13040.457154176074	23664.129760407206	12508.45503147607	9567.455766257872	6521.653886035628	3471.144723125287	2318.0584753216	1432.0001078484452	3023.623950107743	1655.148886523988	6597.351545753442	6089.161939390559	10340.675983750722	12189.637014326061	7094.661940242836	6872.338083548647	7091.820533034444	8536.08954329637	3216.147204966504	2287.458452911091	2550.267906976864	2890.497236441072
MED134_03969	40.111467868240005	76.40875917528	70.606375969963	272.187976166586	436.25190983816003	295.817034660695	249.97275733074102	259.55967035369997	1373.394097944468	997.1797207589781	853.282501664902	1543.922252998749	47.685516247438	168.12964133027901	171.677445265346	377.645118129635	355.368307457867	184.37792681134502	295.96480229412003	266.73759886777196	412.48869310982997	1850.429319695995	1678.825526657729	2526.4902720123628	1784.51244729488
MED134_04009	247.98473531119697	340.494332361734	195.91462001221902	427.44321166954904	749.9136512140469	465.424705731124	502.26724305774303	668.5311991439361	1619.357565356973	1413.952522551965	1028.552695218757	1050.062422618463	207.22323419969698	701.698089849513	743.097561200841	970.191435474648	756.7328674767699	439.24591815873	736.964149138747	607.743313498729	918.79834386817	921.605826459999	955.976138665305	1420.1309039582318	1363.42766470223
MED134_04249	511.61042035717895	792.608833656942	530.150263255699	1374.6966738521828	2474.63050406259	1472.885415092027	1040.908230990239	1292.586310195137	2193.07617953686	1862.573575338356	1369.5648028485741	1439.5169048270989	227.550009558628	729.4881132098891	966.134576911678	1173.868916144216	1408.2414311495259	647.455005578345	934.7653267675871	839.177406634003	1354.3378757106088	1220.236789316837	1457.276883065246	1787.9849037031581	1884.9406581553549
MED134_04254	565.849197663291	905.989573078326	616.420169730945	1958.869063133901	3592.3146606634587	1988.3510263870119	1713.822511173149	1962.1599176537468	3351.1051361584173	2952.2779563109293	2332.422518509234	2899.313985198332	362.03635031177197	1095.39008745485	1239.094531726874	2073.416946654055	2493.2489230687593	1079.927857037883	1679.393903057377	1449.0127797316952	2307.105876658413	2200.486158331805	2687.685451717286	3625.389989881554	3169.096308701221
MED134_04494	34.561453446219	65.141108052658	38.556382782232	183.260135577864	318.734438001912	178.021628643113	131.564609121442	138.29283641335	329.520434811012	288.007028380002	181.53879847352	236.602048014889	20.326775358931	62.990719616853	70.394935715497	130.063091383807	124.756959001166	64.72041512561499	112.31333632874501	99.111323500868	148.415049383635	281.940108437346	319.493171056391	328.22460813742396	271.716935982908
