	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07244	2911.69994073161	3169.616475715389	3289.0435728870593	3876.8385729655893	3408.3881279800257	4087.228138787012	3566.258451170685	2762.341422278561	2651.2234438778746	3332.642062186205	2307.808007585784	2143.5228785483046	2412.2073556269866	2361.003292346964	2196.1668323969466	2231.2957582425433	2922.129592935077	3250.4874652743997	3293.7782625104433	3451.8389407024524	3101.20558745316	2330.6117384334766	2325.025303255735	2279.588195749138	2387.042970758065	2488.729193826722	2345.217801245715	2537.100294822526
MED134_07239	116.67775539176645	105.77687889465403	106.82138308093498	148.81813650290812	137.94232583775064	155.0803256706708	169.48320322944764	205.25350031344178	222.22730621198562	213.08264512650734	251.02473064968174	249.94542290846172	313.1744825228197	344.90847127909643	93.6531698250297	103.45098515488156	121.96938107593688	149.45729675934177	164.68891312552216	165.45806662623772	125.97024371145584	200.49285148882495	251.79734612022688	241.92350998890763	235.80443668933572	279.48866214427824	347.4815950687425	332.59667849779447
MED134_07234	310.7036857061646	316.1006729758847	259.80015391289123	415.345533516591	389.5733817615595	407.3443220949619	384.0039010233639	470.22959101908907	488.9000736663683	526.4394761949005	742.9522270034935	665.9543580894389	692.039222355304	526.8905652412717	260.6679893463327	314.4098568432675	301.7137321352123	366.54610769469855	373.71714901560796	352.49762020372384	381.8067180532785	508.29173616885197	458.2518751230183	457.29443961317907	615.0756503935423	608.0478527566358	547.8211466230338	562.5326493726235
MED134_07229	378.8749585193315	341.92991084550954	353.43371192210583	563.3228895872793	553.2851530854834	570.6955984680685	565.3390765066191	616.4469674965576	729.7324566774969	680.5373060614751	990.9403681695097	927.8019439935416	962.4386536067141	882.2796806752577	404.2695164113782	419.88929268746045	369.75980789336654	569.4406502227436	500.4009283429327	576.7052901972489	575.3074016925251	704.0781826931506	714.8729251919085	652.0133622871779	864.6162678608977	984.6108212182016	887.3797085794597	839.2963114438929
MED134_07224	173.05015406419292	126.68626193196937	233.4245037694505	167.31530601174416	175.0806443325297	184.71789902106565	228.7430644984853	153.76850859602328	265.6391520766526	175.47982539830016	639.7081845588664	569.6035147913924	577.4631921640284	844.1682473847499	140.47975473754457	154.16225238766665	150.21492195668014	219.59368183076472	228.03080278918452	263.7737294041471	245.44717589139333	185.43235560234044	227.67882637691014	217.3377874290593	947.033352529015	781.9282036326563	783.2484162461558	566.1347794646574
MED134_07219	972.7516236032664	942.1522003872674	871.7152372407163	1246.036600549773	1224.8065854604674	1277.8618835263271	1191.1232115076566	1446.385033981344	1323.027683494612	1650.83751708737	1541.5752612075214	1591.489223417144	1573.51081462685	1330.0890218387256	830.3914391152634	933.0873170832455	781.887927107848	1259.1151034250693	1097.3982384229505	1202.5684117834526	1193.4706594930713	1421.334299286975	1397.909404322639	1365.9827454251736	1371.3287143389525	1317.4370143060444	1552.9144900140545	1468.4683675191432
MED134_07214	1005.526273994212	1078.6781719838557	878.3091497765764	2306.260725578966	1947.1089839405572	2950.6616630939625	2343.134914577748	1749.8032518359971	1571.0953741498518	1747.4251520755101	1894.831837807275	2315.2540874854108	2232.704908327322	1524.4573316203157	1030.184868075327	973.6563308694735	973.1872721637911	2051.4892633391214	1683.3107178118273	1678.560096208209	1829.8151895818687	1340.3841338971208	1332.3070306208174	1156.5123892152658	2077.978903252625	1755.871518662145	2062.2523329486935	2583.9279860189663
MED134_07199	268.7521332057542	292.73136252241466	251.88745886985902	266.5273970136829	294.83277335651104	293.61874993647	265.4841784852886	360.3949420219296	332.8241516291133	447.5472857847404	673.110668879187	622.8798634385475	671.4155369208744	513.5515635895939	213.84140443381784	219.07267444563155	310.700949688176	257.16674526188416	304.04107038557936	272.16652988518814	224.66857899053463	356.74549631110165	339.58875798589986	324.531537789998	750.9112158650692	816.0642234365376	737.9739413186322	726.4295685601649
MED134_07194	1208.729106418075	1197.9846516673608	1342.5205923011333	1512.5639975634558	1405.1927038636798	1556.317223841665	1636.7573682508196	1734.0145210426554	1769.5495266740436	1568.9960859142134	2194.442000195605	2182.629985533982	2012.7189303600728	2568.7106037802323	1298.657288240412	1365.1473139065743	1219.6938107593687	1703.3122088774146	1436.2773481235442	1716.9271841215393	1379.1793692944957	1706.5424401372752	1801.1710544308949	1776.0725977234438	3247.0805116929564	2753.283347306802	2759.4792468325545	2419.4307118160864
MED134_07189	2018.918464082251	2089.708340023456	2129.8337490828394	2198.640830254829	2251.036855703953	2219.371771820266	2200.911247532058	2846.0903421388953	2594.3745981027155	2833.4830630490233	2558.8327382354655	2745.9990339943247	2325.1295726816174	2381.9645806567432	1791.8973159855684	1823.5771696909515	2128.6866718305614	2165.8783675627515	2389.5727875616626	2108.9908637358853	1966.174731743754	2616.7611602766824	2241.0928545489924	2509.710558909318	2966.25192689789	3249.3223850819522	2786.6439317890686	2578.5247908809156
