C0 (341 genes)	C1 (174 genes)	C2 (143 genes)	C3 (329 genes)
MED134_07054			MED134_09871
MED134_07064			MED134_09876
MED134_07074			MED134_09886
MED134_07099			MED134_09926
MED134_07129			MED134_09931
MED134_07159			MED134_10016
MED134_07164			MED134_10021
MED134_07194			MED134_10036
MED134_07234			MED134_10041
MED134_07269			MED134_10056
MED134_07491			MED134_10061
MED134_07576			MED134_10131
MED134_07611			MED134_10281
MED134_07716			MED134_10321
MED134_07721			MED134_10371
MED134_07776			MED134_10381
MED134_07871			MED134_10535
MED134_07891			MED134_10540
MED134_07946			MED134_10545
MED134_08006			MED134_10555
MED134_08046			MED134_10565
MED134_08166			MED134_10585
MED134_08216			MED134_10610
MED134_08236			MED134_10690
MED134_08266			MED134_10695
MED134_08496			MED134_10730
MED134_08501			MED134_10735
MED134_08506			MED134_10740
MED134_08511			MED134_10825
MED134_08521			MED134_10830
MED134_08536			MED134_10855
MED134_08541			MED134_10860
MED134_08621			MED134_10865
MED134_08651			MED134_10900
MED134_08656			MED134_10925
MED134_08801			MED134_11025
MED134_08811			MED134_11040
MED134_08816			MED134_11055
MED134_08851			MED134_11175
MED134_08856			MED134_11215
MED134_08911			MED134_11220
MED134_08981			MED134_11240
MED134_08986			MED134_11245
MED134_09101			MED134_11250
MED134_09126			MED134_11286
MED134_09156			MED134_11291
MED134_09171			MED134_11301
MED134_09301			MED134_11346
MED134_09306			MED134_11351
MED134_09571			MED134_11356
MED134_09621			MED134_11421
MED134_09746			MED134_11451
MED134_09766			MED134_11501
MED134_09996			MED134_11551
MED134_10071			MED134_11601
MED134_10076			MED134_11646
MED134_10086			MED134_11816
MED134_10091			MED134_11836
MED134_10096			MED134_12006
MED134_10101			MED134_12061
MED134_10106			MED134_12076
MED134_10271			MED134_12106
MED134_10436			MED134_12156
MED134_10620			MED134_12161
MED134_10625			MED134_12191
MED134_10630			MED134_12196
MED134_10840			MED134_12256
MED134_10870			MED134_12351
MED134_10980			MED134_12391
MED134_10990			MED134_12396
MED134_11125			MED134_12416
MED134_11140			MED134_12421
MED134_11165			MED134_12431
MED134_11170			MED134_12436
MED134_11326			MED134_12446
MED134_11366			MED134_12451
MED134_11376			MED134_12456
MED134_11471			MED134_12461
MED134_11591			MED134_12471
MED134_11631			MED134_12476
MED134_11786			MED134_12481
MED134_11861			MED134_12486
MED134_11881			MED134_12491
MED134_11896			MED134_12526
MED134_12036			MED134_12596
MED134_12041			MED134_12601
MED134_12046			MED134_12921
MED134_12096			MED134_12926
MED134_12141			MED134_12931
MED134_12146			MED134_12936
MED134_12206			MED134_12951
MED134_12211			MED134_12996
MED134_12216			MED134_13011
MED134_12231			MED134_13046
MED134_12241			MED134_13101
MED134_12246			MED134_13111
MED134_12271			MED134_13116
MED134_12346			MED134_13401
MED134_12551			MED134_13421
MED134_12556			MED134_13451
MED134_12701			MED134_13456
MED134_12711			MED134_13461
MED134_12736			MED134_13516
MED134_12741			MED134_13536
MED134_12746			MED134_13711
MED134_12791			MED134_13741
MED134_12796			MED134_13806
MED134_12806			MED134_13851
MED134_12811			MED134_13921
MED134_12831			MED134_14001
MED134_12846			MED134_14056
MED134_12856			MED134_14061
MED134_12981			MED134_14066
MED134_13031			MED134_14076
MED134_13056			MED134_14181
MED134_13091			MED134_14191
MED134_13136			MED134_14226
MED134_13151			MED134_14246
MED134_13161			MED134_14326
MED134_13376			MED134_14341
MED134_13441			MED134_14346
MED134_13501			MED134_14381
MED134_13506			MED134_14411
MED134_13511			MED134_14426
MED134_13661			MED134_14436
MED134_13781			MED134_14441
MED134_13816			MED134_14446
MED134_13871			MED134_14527
MED134_13906			MED134_14577
MED134_13916			MED134_14612
MED134_13946			MED134_14637
MED134_14011			MED134_14642
MED134_14126			MED134_14667
MED134_14141			MED134_14692
MED134_14166			MED134_14717
MED134_14216			MED134_14767
MED134_14281			MED134_14782
MED134_14311			MED134_14792
MED134_14416			MED134_14802
MED134_14522			MED134_15094
MED134_14582			MED134_15124
MED134_14597			MED134_15519
MED134_14622			MED134_17085
MED134_14677			
MED134_14682			
MED134_14722			
MED134_14752			
MED134_15304			
MED134_15306			
MED134_15821			
MED134_15830			
MED134_16706			
MED134_16708			
MED134_16709			
MED134_17467			
