index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07339	794.3296568611211	957.2699390189046	714.4293750033353	894.1683053042099	909.83763985225	883.4359198128194	912.7726348614698	898.5129999987114	950.9207849240091	1653.4368131564338	1531.6174347833858	1348.8972387302335	1274.503687351398	884.6572383846866	742.408287187682	761.7357729013212	774.6593702777352	734.6274002553723	923.7812117511571	946.2334913375712	854.0500139128576	898.5403137611949	1271.4665104898875	1562.1291087054053	1363.0409130318733	1130.7291507080658
MED134_07334	1732.357141094103	1753.7581053343756	1657.2636803051346	1372.6416679148117	1784.4755055806957	1577.0525000982898	1496.3372199437458	1594.2366076366025	1962.6174890715324	1595.2101372832867	1678.5002195246914	1488.0450373140177	1659.4019141755064	1743.9479609733964	1848.8228536889922	1687.7167803671039	1337.7414805557844	1441.6462544227159	1340.0046673283027	1863.0159402740733	1546.0246274581614	1547.980342519286	1795.1878368495995	1705.9541677730401	1693.0402919764322	1610.991479456176
MED134_07329	2739.572468135759	2920.044348867744	2825.8470446228575	1810.393893281958	1766.1104060378411	1615.255134468574	1149.8024307024893	1149.1398900446484	1509.7627738816886	1807.0347684769768	1845.5653716350314	1887.9999119318884	1726.3817526669566	2682.5090454245337	2451.386920575393	2692.587231206368	1555.2193015913183	1505.2659475820863	1775.7997587476339	1144.7905191383265	1053.975358078822	1049.779772513079	1842.3901881524062	1892.8217627660254	1897.2205097180488	1807.9763999216339
MED134_07319	372.54992281593616	338.87850554416	829.9597757938375	299.47003014457886	283.89383043329246	366.5065234899129	137.9208461180201	214.22879398117425	217.1627357620691	217.84808042194663	301.05364658809594	242.55818441654145	318.86176633957996	592.9423067309548	760.9170810510868	550.9328340508707	336.33197904332576	502.9556874297402	493.2052232230754	183.35648978730043	218.36506037544655	222.410968752771	275.72167110210876	308.6464771232454	282.54127428029113	219.0043828739833
MED134_07314	1148.2520835362604	1200.916163807954	1087.5792902002445	866.1725234493342	963.402513518909	941.933703692317	888.5151996145819	772.6795821748178	926.4621832852778	558.1729618184439	590.8948668600617	621.2226854806092	559.4231581046477	1125.639138446465	1104.3580338498207	1201.447424491218	889.29884183135	924.2861081644389	969.44836204959	830.3293889849771	784.1731945927147	883.7129158443433	497.4977978581528	498.6635259644271	539.6979809494624	627.2571183401587
MED134_07309	1613.9394870561805	1612.7648585021338	1600.1624477305186	1290.3510364019955	1316.165467237906	1332.3168736636574	1063.1687333921752	1022.2665266189043	1162.1541627130525	691.6927530447983	754.5962910755627	750.4856677715561	712.2503952259848	1518.8201332841036	1659.621849751965	1582.9619457236283	1301.495177049862	1245.9856886684256	1287.8136384158079	1095.3887705945979	1061.7394491143934	1088.3310070968928	603.890399207336	645.6380388802583	684.2796486475801	796.8664909463686
MED134_07304	2641.1128456772617	2792.6557135719463	2624.0008271497964	2172.6423433435307	2278.03755579491	2246.7924339023325	1890.0007405218132	1806.3855104140762	1978.1820537507251	1314.1158399646458	1327.5512758298162	1359.5424255071352	1617.8932818709457	2479.5769190567203	2426.70852875752	2489.543909736916	2129.2595966502276	2025.0268369784526	2373.387039795699	1848.7654358864593	1829.4139502565188	1988.848307247001	1248.989200345694	1247.1837238857672	1525.2814103725093	1605.6353940054537
MED134_07299	11048.766282369763	11578.761200381117	9557.152810221196	9051.121109383885	9389.922353765316	8835.553030452265	9229.607576651628	8401.720517349062	8741.355991733253	8143.703356602909	8658.235601315742	7904.811552333433	7251.74673920814	11067.727923232074	10072.896926995198	10246.574751608094	8833.982807955023	7053.383339706809	8139.190958903556	9447.134375362257	8560.88087809695	8029.530218572261	7944.230648629509	7909.3284307705135	8114.232220737111	8232.898458365991
MED134_07294	1173.5322568701988	1355.51402217664	1479.3203043749359	1152.9171982053333	1119.5058596331721	1153.2420250529508	1024.3568369971545	1023.3064722207547	1094.7077157698843	1522.9287465442076	1602.255720575006	1570.9254200770365	1313.1821856351933	1269.9111970360823	1238.032656196633	1404.4907459606702	1021.6399964925083	1105.5422150901925	973.3626892180271	1050.7371901800739	1099.5893929128042	1067.5726500133007	1348.638608651619	1242.984452088172	1332.1379611574664	1346.1628099482343
MED134_07289	4447.979971334552	4728.2209003478965	4669.021714705812	4039.8761573611455	3977.574475989904	3651.933079334344	2321.0900183379363	3126.0764791621837	8116.549895325662	11829.05037609123	10682.63917269305	12473.117420592307	5171.598233945495	4695.976236730182	4635.424596457161	4013.015455539558	2733.6456341792114	2830.476159807464	3186.2623151078046	3175.9624111862454	2711.6087941733226	3170.0976746228293	4497.709759853149	9260.444131646762	6064.704305352343	5275.1490483559455
