ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07309	0.0306007613359595	459.156783246847	290.37775782869	747.288649367109	1454.173032793869	800.211649149517	380.376502254054	544.832079136014	405.42782068712	369.54953307862996	247.484522228404	283.546898811494	105.25973402084301	373.775814197067	439.609190386578	509.688865727409	494.61723644401695	260.38678643561497	339.88786558278997	286.089150158179	445.245148150904	181.794981920401	192.446914984996	289.061444666481	341.302980563897
MED134_07304	0.0500762664895957	795.0736323400159	476.171327360573	1258.255247224961	2516.902975946132	1375.4606431977859	672.1403707174891	927.3959306211881	770.25401637074	650.1436064860291	448.33062385449404	644.083352929422	171.843657629017	546.537126087409	691.3788329200669	833.8562660799461	937.567449463309	423.19124153842205	573.6528936896	492.941543005639	813.6541671931161	375.995328612045	371.751113824675	644.3272847243189	687.7038398516761
MED134_07299	0.2094878170929991	3296.492181562104	1734.314293023305	5241.829454370603	10374.510049659051	5676.3214824562865	3126.2072855651104	4098.054554419745	4773.338869976661	4240.210244328651	2606.7366697938082	2886.9205445880293	767.033615030799	2268.592240318755	2845.607528948413	3459.546187061694	3014.32975687666	1474.019997201997	2931.348599614281	2306.757215306495	3284.946719736422	2391.5287758089507	2357.552939019447	3427.709259980604	3526.202713309153
MED134_07289	0.0843349918764325	1346.132195055749	847.276511639563	2339.637441345282	4394.646177013099	2590.6132526423207	1163.185926526639	3805.137817996492	6933.463006032421	5231.624333442272	4113.207804087883	2058.813376535914	325.448154665696	1043.978544238153	1114.46676288362	1070.544683648957	1279.703958239234	591.51449172946	985.468460228333	730.651814937801	1296.912979218848	1353.989176759515	2760.283312329512	2561.923610390835	2259.379850424485
MED134_07284	0.0395816937643202	654.9322215024039	381.22623475932505	1158.5184978354	1989.342526839519	1368.375205241842	592.4276957792031	871.105881628819	1069.1761250921581	898.889428900026	616.83072409511	644.834470542168	148.55027181229602	425.65052446977	506.771705584527	583.633364382163	756.7328674767699	293.750411287191	528.5506877623089	397.49132380295504	636.5266695636	468.02058000599595	465.001814093827	694.679923472674	714.4677031520561
MED134_07279	0.0035066000211857	58.803054296183	53.73795850273599	122.33719506404299	253.634831301256	142.151598991142	77.003991809315	132.038386525309	164.171788057629	143.866237246064	105.563306847171	116.42322997558	13.075060906555	42.148202096571	73.986514068329	79.88646729665301	97.663275985761	42.645234772692	66.031987762831	55.178071922647	84.519742019563	78.266574102207	85.740576757542	123.550456188093	108.075028946297
MED134_07269	0.0245714274865825	344.015473337553	201.939054821943	840.1470022470451	1805.8799988649441	987.5329151098081	577.723415936218	761.305539149878	1045.638951177086	989.217658010627	576.7116526092491	733.841907652531	88.119318042501	289.94257705993	318.572999896155	544.68045884082	579.678799399357	298.014934764461	525.013259846443	431.225784836232	651.48949470582	546.738258281703	521.327740430899	777.2023036435891	803.170792947603
MED134_07264	0.0253534749733217	372.88882933927204	284.594300411355	1049.446781754204	2015.5514594073159	1112.413759083335	766.94428023147	910.7173975864121	1195.688434885672	999.1015979740971	731.4208220265999	920.11907561346	89.987183886294	329.311776820464	377.474884882592	719.638424407871	668.520876263824	417.67244645019105	603.7210309744611	521.707362491379	791.4121298195461	569.293466956691	628.65992228432	905.41504119727	880.14876167822
MED134_07244	0.056029918324127	907.398029468654	600.997616618052	2265.449021848613	3801.986121205831	2626.040442422045	992.538889401473	1570.561860774736	1341.61891315912	1038.362803940103	791.850173452178	930.6347221919	154.593367189275	509.483761606907	817.443233104454	1285.11577349534	1310.578155163765	722.209593591652	729.889293307015	630.2329541875811	937.400775126065	705.526927353617	730.04658969105	966.02469894992	1077.181774356258
MED134_07239	0.0022452331070901	30.281812392046003	19.519168783505	86.96258444311499	153.871797656095	99.638971255473	83.19526753267701	100.41866764688001	145.930478273448	121.07826455250799	102.80512068251801	135.952287906968	6.5924676839770004	23.62151985632	34.119994351899	59.089577050004	65.528907758188	34.617896462538	62.789345506621004	68.253444416165	99.48256716178199	69.695594805712	81.985515001738	143.13203792356398	141.21124065153
MED134_07234	0.0059788791728131	90.493323078558	47.472546300624	242.70913398247902	434.561010962819	261.718364497711	183.029588571889	248.093178892292	431.907141341576	322.600818252147	227.17424228868703	207.684019924181	18.349035053737	71.790893680973	84.40209129154	144.918012988557	148.700213758965	73.751170724538	159.18425621396898	124.216038688423	188.04631597654	181.794981920401	178.365433400728	225.65441809447898	238.835618213869
MED134_07229	0.0072907007634726	97.887719127778	64.581941160239	329.180404389193	617.178089499723	366.671414220144	273.190041293349	320.714291481212	576.072331571394	449.444714450013	315.937687951154	347.76745470125	28.457485502503	95.875580593299	103.437456561547	225.134589654205	199.10706588064798	120.660928974499	220.49967342231298	193.77702035394	268.117650521389	255.55051428761098	288.826833383985	365.52285906213103	356.341722799349
MED134_07224	0.0033300086532124	36.267752050938995	42.652998452844	97.771493243954	195.29882010196698	118.681085762075	99.44736630650199	82.69772629743001	371.887347858142	275.926657313538	189.562612770692	332.745102446337	9.888701525966	35.200696256477	42.021466728128	86.818764045536	90.732333819029	55.18795088230699	58.072774952132995	61.715758169405994	89.372550173796	279.910139656598	229.371688917076	322.629870498718	240.36498183103402
