C0 (323 genes)	C1 (74 genes)	C2 (37 genes)	C3 (79 genes)	C4 (355 genes)	C5 (80 genes)
MED134_05684				MED134_05994	
MED134_05694				MED134_06064	
MED134_05844				MED134_06079	
MED134_05849				MED134_06129	
MED134_05874				MED134_06204	
MED134_05884				MED134_06254	
MED134_05889				MED134_06259	
MED134_05894				MED134_06269	
MED134_05899				MED134_06274	
MED134_05904				MED134_06284	
MED134_05909				MED134_06339	
MED134_06044				MED134_06544	
MED134_06069				MED134_06549	
MED134_06134				MED134_06554	
MED134_06189				MED134_06564	
MED134_06289				MED134_06569	
MED134_06309				MED134_06604	
MED134_06344				MED134_06619	
MED134_06369				MED134_06634	
MED134_06414				MED134_06649	
MED134_06434				MED134_06884	
MED134_06464				MED134_07144	
MED134_06494				MED134_07149	
MED134_06504				MED134_07154	
MED134_06509				MED134_07304	
MED134_06524				MED134_07309	
MED134_06589				MED134_07314	
MED134_06904				MED134_07436	
MED134_06959				MED134_07441	
MED134_06974				MED134_07456	
MED134_06989				MED134_07461	
MED134_07019				MED134_07481	
MED134_07039				MED134_07486	
MED134_07044				MED134_07506	
MED134_07054				MED134_07516	
MED134_07069				MED134_07521	
MED134_07074				MED134_07536	
MED134_07194				MED134_07541	
MED134_07199				MED134_07546	
MED134_07234				MED134_07551	
MED134_07339				MED134_07591	
MED134_07491				MED134_07651	
MED134_07611				MED134_07666	
MED134_07631				MED134_07711	
MED134_07636				MED134_07756	
MED134_07716				MED134_07876	
MED134_07721				MED134_07881	
MED134_07791				MED134_08011	
MED134_07801				MED134_08066	
MED134_07871				MED134_08071	
MED134_07891				MED134_08076	
MED134_08006				MED134_08141	
MED134_08041				MED134_08176	
MED134_08046				MED134_08211	
MED134_08051				MED134_08336	
MED134_08111				MED134_08361	
MED134_08166				MED134_08366	
MED134_08216				MED134_08371	
MED134_08496				MED134_08376	
MED134_08506				MED134_08386	
MED134_08511				MED134_08396	
MED134_08521				MED134_08401	
MED134_08541				MED134_08406	
MED134_08581				MED134_08561	
MED134_08621				MED134_08681	
MED134_08631				MED134_08711	
MED134_08651				MED134_08871	
MED134_08656				MED134_08881	
MED134_08686				MED134_08886	
MED134_08726				MED134_08891	
MED134_08811				MED134_08921	
MED134_08816				MED134_08926	
MED134_08851				MED134_08961	
MED134_08856				MED134_08976	
MED134_08866				MED134_08991	
MED134_08896				MED134_09021	
MED134_08986				MED134_09036	
MED134_09066				MED134_09091	
MED134_09101				MED134_09096	
MED134_09111				MED134_09166	
MED134_09131				MED134_09221	
MED134_09156				MED134_09231	
MED134_09171				MED134_09356	
MED134_09286				MED134_09461	
MED134_09301				MED134_09806	
MED134_09306				MED134_09811	
MED134_09536				MED134_09876	
MED134_09641				MED134_09886	
MED134_09891				MED134_09926	
MED134_09921				MED134_09931	
MED134_09996				MED134_10016	
MED134_10071				MED134_10021	
MED134_10076				MED134_10036	
MED134_10086				MED134_10041	
MED134_10091				MED134_10056	
MED134_10096				MED134_10061	
MED134_10101				MED134_10136	
MED134_10106				MED134_10256	
MED134_10161				MED134_10321	
MED134_10346				MED134_10366	
MED134_10620				MED134_10371	
MED134_10625				MED134_10381	
MED134_10630				MED134_10535	
MED134_10870				MED134_10540	
MED134_10970				MED134_10545	
MED134_10975				MED134_10550	
MED134_10980				MED134_10565	
MED134_10990				MED134_10585	
MED134_11140				MED134_10615	
MED134_11165				MED134_10735	
MED134_11471				MED134_10740	
MED134_11531				MED134_10750	
MED134_11536				MED134_10755	
MED134_11591				MED134_10825	
MED134_11631				MED134_10830	
MED134_11856				MED134_10855	
MED134_11861				MED134_10865	
MED134_11876				MED134_10880	
MED134_11881				MED134_10900	
MED134_11896				MED134_10920	
MED134_12041				MED134_11025	
MED134_12146				MED134_11050	
MED134_12211				MED134_11175	
MED134_12216				MED134_11220	
MED134_12221				MED134_11240	
MED134_12231				MED134_11245	
MED134_12241				MED134_11250	
MED134_12346				MED134_11286	
MED134_12371				MED134_11291	
MED134_12551				MED134_11346	
MED134_12556				MED134_11351	
MED134_12646				MED134_11356	
MED134_12746				MED134_11421	
MED134_12771				MED134_11451	
MED134_12791				MED134_11596	
MED134_12796				MED134_11601	
MED134_12801				MED134_11636	
MED134_12806				MED134_11816	
MED134_12811				MED134_11836	
MED134_12846				MED134_11981	
MED134_12856				MED134_12006	
MED134_12861				MED134_12011	
MED134_12981				MED134_12016	
MED134_13051				MED134_12061	
MED134_13136				MED134_12081	
MED134_13151				MED134_12156	
MED134_13161				MED134_12161	
MED134_13176				MED134_12191	
MED134_13301				MED134_12196	
