index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R3	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_00860	0.14980659996715948	0.2500919625688395	0.1437716190350538	0.6011661971767843	1.1329562235884685	0.41628945472874807	0.4962783862654398	0.6075283665481196	0.502632399081652	0.3506551368913909	0.3854100896784702	0.06025068188374271	0.19550630550319006	0.2254688658683455	0.3720422299104381	0.19072990152125963	0.2853976666567912	0.5429279339085944	0.29599007677418976	0.28601149370109674	0.3009452038351902	0.4198493719782764	0.4060682232208272
MED134_00855	0.05892716321388759	0.09937029629480158	0.060184020990876094	0.19195789177959247	0.3873740238240191	0.1156399699107776	0.1453030658927238	0.1632828404860022	0.14402827206647834	0.09603093024902626	0.11318436852848292	0.021479293152895217	0.07513293790639462	0.09098524387702057	0.11990001070952956	0.054956073319684974	0.08309484483604648	0.15083814429877393	0.08738235546853329	0.074235739295216	0.09162116309936387	0.1303058629220903	0.12522327330608748
MED134_00850	0.024190929207705464	0.040497124903279086	0.03209972852691417	0.07976520449454594	0.15622259405049355	0.04984357005205489	0.060694980214830586	0.06697939948771221	0.05896818930718929	0.038321528799897704	0.04716926662668499	0.008852129101389439	0.03166830078328057	0.04619145951793289	0.05521831910837339	0.027668196083093993	0.032194380998228536	0.06332967421373709	0.03882283839500756	0.03439567903497065	0.034887340122637715	0.047527562749207164	0.04878549720906498
MED134_00845	0.7353241035977777	1.1673708841633317	0.7577294170627831	2.2702896907685037	4.60925135793434	1.3641474103457398	1.7081580824711662	1.5949538017127152	1.3942457043587815	0.8465400226657378	1.1380770273197311	0.274668920117398	0.9939364683756471	1.029200261480378	1.5812407287212569	0.902163843760953	0.9268604240310447	1.8581471666269114	0.9914069567419417	0.9097454274860952	0.7876921544545242	1.1724819539754552	1.1816453959341027
MED134_00840	0.03437769364303392	0.06217387749649194	0.050941390053074756	0.11736096028268628	0.22631731133978153	0.0862246841812883	0.11275648229926391	0.11674805311687972	0.10041425661868694	0.07236386006069268	0.08876133248529983	0.0134608566335414	0.05132886134966971	0.06841790350737366	0.08174026272892322	0.0506774862965261	0.05596669460687341	0.1203129731710517	0.0664720328103416	0.061767038763606515	0.06316284373295021	0.08277830017288312	0.0912668479359013
MED134_00835	0.025730543708283055	0.043734355890845275	0.028820851741781568	0.08507068827973363	0.16258751665492316	0.0568815832020554	0.06590764625582517	0.07147392547624937	0.05271939762022503	0.03932558632303913	0.05803204982201121	0.01070686091310913	0.040209017416421654	0.04233933042160343	0.059934692454291026	0.034989333878276935	0.0367626489139153	0.08433528245682562	0.036518738860396395	0.037470153138655184	0.03750769929342099	0.04937811362548208	0.05038541317235786
MED134_00830	0.05470904129449693	0.09556178925060604	0.06495977630835185	0.1727941184520611	0.34467264432594713	0.10979300514000795	0.12979538442076494	0.12831323584348142	0.09607836034609951	0.06939949975427513	0.09076620857839693	0.022519067047344136	0.07585171108839164	0.09091706460097934	0.11619428879488	0.065319761886892	0.07406656179888355	0.1596873154309687	0.08255117902499373	0.06306942015475066	0.06264486575733026	0.08927779593345847	0.08883115497685841
MED134_00825	0.4472474671129922	0.7686519341947619	0.5833549480331582	1.4854897229233701	2.898456844232339	0.995860814537508	1.2236081947979642	1.3530715677198557	1.0744350963471696	0.7160842630518627	0.9231178578471181	0.1817543502161474	0.5950596331427113	0.8132083149817632	0.944009688406268	0.553316381806067	0.6807801722315387	1.4075545234209148	0.7214309069714264	0.7318956407937889	0.7307450464290135	0.916925391500611	0.895093283105527
MED134_00820	0.27597062657613425	0.44949904389117684	0.31032905572910885	0.816907292131356	1.5664155098141805	0.511825971693114	0.6552647005157743	0.5185148274580668	0.4450925050171974	0.28044282866600123	0.39787677374827407	0.09956537589277072	0.3765103050402049	0.45131271775491777	0.5481099595577141	0.3166867494974753	0.32612236783881404	0.683978358621759	0.3693744081883648	0.3390888730188727	0.311182886176855	0.42743211703228096	0.44172008192524914
MED134_00815	0.04829749597702311	0.07690010473404797	0.04977715119458564	0.14635817338448795	0.2938338321310727	0.09517559321308382	0.10770671207205042	0.08528637119711965	0.0634061066685435	0.04377212678266544	0.066160911072205	0.015474833095762279	0.06866397926842142	0.07397451450473386	0.1074353097238901	0.06130264407070396	0.05728737869624257	0.11915096080015745	0.06426703433098252	0.061446781044472716	0.056154906415739135	0.07063688100903058	0.07151863149346531
