ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07314	81.30347214359921	84.6309140319865	79.2985255824263	66.6227599974232	73.84266118609808	75.4721563022915	73.6114312641772	73.4163630979711	63.59927712472321	81.47262683779309	54.0327974908043	57.77038213454001	61.379716205851295	52.4925628601441	80.37180532574341	75.5917380565135	89.87099400803659	67.5902826423752	83.84328784402099	72.0487965188903	76.4922500525143	66.26219669638179	62.2186473465481	74.56096750711579	45.2175293240338	48.790307925509396	51.69984028340139	60.2504386073126
MED134_07309	197.02943163420701	195.95637611014303	201.15936871463	171.118946867643	173.933030100639	170.140958179351	179.516536189025	151.461483931744	145.073767609419	176.205626043668	115.444670897929	127.19841384723401	127.847423068365	115.229065998165	186.974719529048	195.859926191506	204.153700059086	170.549757149579	172.984075266917	167.457793969118	175.19341625709302	150.714733667893	145.244111038587	158.319110594258	94.6336950435482	108.914843463478	113.017068527286	131.96907887062702
MED134_07304	147.249926738848	154.963714560219	150.648367560665	131.583894401352	137.485444860634	133.560010868032	138.25605384986602	122.966343292449	117.073732119884	136.976655766973	100.165597795648	102.198049346763	105.77100066120701	119.537312351645	139.405016667919	130.791141962032	146.632704258639	127.426991047236	149.748910495371	124.293199434879	147.45435385967	116.169872223967	114.29226460614599	132.12903752428002	89.3862315994265	96.0843527816083	115.049481138851	121.438900448632
MED134_07299	429.847346135031	448.33954865124804	382.878804637606	382.515647454288	395.448723221207	384.61621932013395	379.391219088132	419.024921300716	379.970242328131	422.368422384585	433.150894581987	465.107169800986	429.138720914112	373.876851459266	434.20180543183295	378.83268156506796	421.135739437227	368.911078637619	335.957425158969	302.09699468031897	352.860142152829	414.232456527285	373.212033676899	372.236607333568	396.73098720933	425.200902152444	427.085131984502	434.506207484602
MED134_07294	34.265347412241894	39.3920527372386	44.4789635330101	36.568284918363105	35.384592031070795	40.5583879631871	37.164957652879295	34.9033837781821	34.733353881992805	39.6981673697057	60.793409325484106	64.5974108024473	64.0061041432895	50.8125015221019	37.390919742076605	34.9449797922948	43.3233382498542	32.0200996970963	35.048897671784	35.5372561756047	31.670557388783603	34.5778336578821	35.9772009000914	37.1437740296986	50.5474803026089	50.1510359924498	52.6230322535497	53.3212668987035
MED134_07289	145.135929949673	153.551606896916	156.88099792813	143.194565329793	140.494120798578	147.2227234851	131.518849758557	88.3812735052177	118.574856595145	328.924142488727	527.68992874892	481.29776911902803	567.927431843366	223.626043937574	154.515017443274	146.215772536778	138.333024662036	95.7456424789669	119.62298921771799	101.67637931147499	115.85493771559999	116.796825631402	99.1461540620611	123.257468012722	188.38545092733298	417.539952666426	267.72461654772803	233.501468102738
MED134_07284	111.981765329986	122.81426528375499	116.04161345265699	116.56461881839199	104.55134051248501	127.83897018708099	108.06916926194201	113.01566318620002	99.28065304248871	123.789015443847	133.771518749716	135.946920180326	140.011592547007	115.143505583918	115.94396158814	98.00350893563558	103.408660783296	85.8104406949012	116.28763477072799	83.0078125970293	121.512832478708	102.98186557504	88.67043951278228	99.45000580994541	107.049075104247	115.633807938289	119.341826272337	121.386046961286
MED134_07279	39.0902358242171	43.4491680936463	64.4527224860353	48.501080998606504	52.524031998457495	52.3285788993576	60.155757914088404	56.583268180381495	50.8477376823283	73.9333688319078	80.9360598085172	85.733609670336	94.414806710621	81.9143464128497	40.2112458850682	38.238128703647796	59.4875721467652	46.280960315356296	59.135919256567405	47.48321538364549	51.936241774471796	50.69412227189979	48.50057111763579	52.032596110011	70.5380447556183	84.0128475826525	83.63371898239708	72.3503525149411
MED134_07274	26.8468511989709	29.6225004184306	50.373583569642	27.6363353103328	34.1944035768607	34.6225474178858	32.9283968974177	30.0184164880104	33.2321454376671	44.9856700343579	52.2111246737212	52.7328214347105	56.7635074391118	53.1122052547832	25.451441620229897	23.3691185189499	50.456287397660894	29.3115248580756	47.782520969611795	34.981675247267	32.298208134490004	35.5784816470006	34.626309919129895	35.4320224003343	49.2268952598447	55.9905288061574	54.1757552189833	47.5989748271238
MED134_07269	70.0464223575364	65.00295045577539	61.937537341268204	85.1768731415792	95.63383291810749	92.9634607185681	99.5644122982225	104.829309350213	97.5555266427746	109.011618565865	131.825307734032	150.750095478329	131.904423438439	132.037212554512	69.30242755751661	67.267158547454	65.5022405156398	80.69459596969659	89.7596174088849	84.85572545300059	82.0460779538542	103.07349932420601	96.9300784846741	102.564781882579	126.008566036809	130.630217764401	134.537900611046	137.498103952694
MED134_07264	78.5737194908403	76.5982265447981	94.8951597817858	115.667428283634	116.03815467565201	113.84430324165301	119.776474412889	119.761805663407	140.79264533845802	141.769131911605	163.877495598845	165.523491293859	181.86628762496997	179.979118774853	76.9382368789479	83.05821608935629	84.3761102175154	115.90475401496799	112.53634298465	129.289482355933	118.670786620287	128.853821162956	127.48675224555599	135.449621182643	142.639909030972	171.25089080122	170.389379341981	163.805746542356
MED134_07259	35.1543917362672	32.2002276183036	36.129545753310104	45.314207202513295	44.3147203305505	44.39657583843329	48.117128120624706	48.411870564257	52.7854027280116	53.71158361898949	43.28166732127111	44.000739080966795	50.1550108622544	45.2437304022227	33.8551031823358	36.6254196735642	38.1583576998601	40.5755251249646	45.206831465130996	51.1168710271107	48.138909172672996	42.6809640556405	49.41043570218861	46.797524970287704	35.499594223325296	39.184418840759996	49.7302106793303	48.2185585523067
MED134_07254	321.158628138532	268.825466663234	273.20150641221903	307.806559229108	297.592411297927	315.56089284869597	360.93454748453104	311.079765169937	368.64609819687996	355.998899000482	345.06610445244104	337.371570878307	344.07581281655604	413.403209557753	315.607593753392	323.86854613556704	260.907871041759	342.899842336504	332.496475045797	409.05393487852206	354.718385018841	346.598429729529	358.639886664887	360.12033623507597	382.67397479092597	378.211122237963	364.201176247873	403.17404576574796
