Genes	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3_T1	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2_T1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4_T1	L_34_R4_T2	L_34_R4_T3	L_34_R4
MED134_11581	-0.9244594944420118	-1.1884089243712104	-0.3509527616522241	1.3048562338360097	0.681740438800834	1.4251528032034135	1.2254130241843384	1.4813932794980693	-0.32323119465757627	0.550012926361981	0.5841290638530409	-0.8458536867407773	-0.45264064210168825	-0.8458536867407773	-0.7320460939396809	-0.7695803106766246	-0.7695803106766246	-0.7133707009480499	-0.9244594944420118	1.2667111578967205	2.1257551556309306	2.192407467332913	1.4813932794980693	-0.5361627248336507	-0.6224633110449393	-0.13271620563409245	-0.24598966022153304	0.0009232064840692298	-0.5361627248336507	-0.7564782368748578	-0.6454485160894723	-0.7955202294199267	-1.2085091262390286
MED134_11591	-0.8540138218967559	-0.7662468381976121	-1.5016780068850595	-0.22230394689559818	0.031252811604229935	-0.5462602375096296	-0.46478231691313787	-0.7426034210925104	0.31685701013061907	-0.08262299149874472	0.4058804742580849	1.9610716170450708	1.777078700660534	1.784486608849306	1.4928813422234848	0.9508987977983406	-1.1033442022334574	-1.4602107974500595	-1.056629159219415	-0.8945420373219986	-1.166809916589063	-1.2736319775743623	-1.1394206614387694	0.2124182232854601	-0.282072741296465	-0.4688627728225835	1.1141803989374464	1.3798853300932568	0.7814487766697152	0.3111077415994389	0.16656412009548735	0.5150979918978561	0.824925901686904
MED134_11596	1.385357778087832	1.4744139495510495	2.5496793683222565	0.031392563574044775	0.12796536210882659	0.031392563574044775	-0.1622507855670331	-0.1014896357643826	-0.3485301899852379	-0.33062458535742306	0.14191640754564477	-0.9583758116636764	-0.5908429096869544	-1.0367541496446995	-0.768838400366402	-0.9334834873132787	1.337531756526272	1.7838316399358913	2.640891832130201	-0.030213764900731962	0.3450654055509168	0.1876669254892306	0.2090281624604887	-0.4439728969356197	-0.3612263579941826	-0.030213764900731962	-0.8046759791578371	-0.3145396313736817	-0.9583758116636764	-0.9583758116636764	-0.9749292194513358	-1.0367541496446995	-1.1016663718213662
MED134_11601	1.7629381332162597	1.6253555430323547	0.8932479916769379	0.7972351147734511	0.6134815801302843	0.6930251799891642	0.3700402683996635	0.19138477489281278	0.7858107886931037	0.34520307461650884	0.4768754641711089	-1.0293977396690637	-0.3888303296674173	-0.8577926138376607	-1.0426316090289856	-1.6098404554238155	1.238647177807571	1.073941518343646	1.19223745219491	0.3209150222669581	-0.4664994179941357	-0.7332889690066305	-0.14137850909985727	1.1464873760571133	0.180199566526519	0.21581839464731142	-2.2018596045690195	-2.037185304708336	-1.0293977396690637	-0.22649309421751332	-0.44135510004266076	-0.7197940265879699	-0.9970999079134788
MED134_11606	-0.2450652580278818	-1.7920219031248668	0.4983433586259221	1.1755850451477265	0.4389940631863037	0.7745250908482324	1.0868238471167488	1.3937834988625684	-0.8629525694453977	1.0207764294687305	-1.272531850102902	-0.13386852022463125	-0.9363720109742087	-0.7422251227948669	-0.15468847145919062	0.9487067437072603	-0.2881464713523703	0.5789140185770564	-0.30318201134157224	1.2465088267258295	1.0439566700109446	1.920464459183834	1.3779432454049478	-0.5471756614307712	-0.021290760969805103	-0.15468847145919062	0.3329469971510822	-0.11966402898660432	-0.5471756614307712	-1.4969875580045056	-1.831983324392224	-1.6779856476555122	-0.7102669908398489
MED134_11616	-0.25386092463312865	-0.9070217857965017	0.9665260253466391	1.143738535632645	0.13722863293788182	1.7008090406768348	1.5128739786591292	1.7644971309925501	-0.4770125215569051	0.007125276302932734	-0.9197442057877846	-0.745981563924364	-0.042973614682889544	-0.5065379603454505	-0.6010607344424466	-0.6995891555926345	-1.0419506393366016	0.17576263004970058	-0.08148440662786809	1.1769665142653394	1.6729894862036718	1.9550815417555352	1.73012495890332	-1.067916873017568	-0.9070217857965017	-0.9959541622742479	-0.745981563924364	-0.9070217857965017	-1.0559122228763937	-0.5065379603454505	-0.1663035298119604	-0.43551103325089596	-0.8783453219059251
MED134_11631	-1.1958916850373595	-1.2735911259213721	-1.6064772510745513	-0.4248129778989653	-0.44198001371858897	-0.7769242954058376	-0.4724957699406065	-0.545927094321801	-0.2364555776357291	-0.28409476385162685	0.11055885937601705	1.6092350749266924	1.2177462067414255	1.5622038761595145	1.474793741408857	1.1497695138184774	-1.3199253444039554	-1.0367289843175247	-1.5217899332203508	-0.539883999453015	-1.1040083732070385	-0.09822517550736264	-1.1224355924429184	-0.09086046739946813	-0.17259779080251667	-0.029908699975703668	0.8134134036119123	0.9303328580456245	0.751366745979364	1.1823976345479408	1.3800987635095157	1.3103372824866117	0.8027609549242847
MED134_11636	0.9139712762688891	0.5346569483380433	0.8772873019268207	0.7551506941771439	0.9008140948771142	0.6999889925759638	0.7192265251904376	0.6553716937605248	0.5210879169293985	0.5080062434254194	-0.23525702198426637	-1.7467939946104603	-1.7904621141570647	-1.7013056510725695	-0.7714140003142548	-0.6037035737972415	0.9430384691429857	1.039629377293969	0.7904177533297866	1.2149845538300899	0.6791375887318031	0.6999889925759638	0.9008140948771142	0.4928157715082049	0.36122486697471395	0.4073262552921715	-1.80981274627367	-2.220362343048921	-1.0410958243938897	-0.524882371005258	-0.5114524274584066	-0.7289185274717656	-0.9294788154387198
MED134_11641	-0.38084957131463154	-0.15158626273214268	0.8480731549971768	0.4655190580511113	-0.09812628428161334	-0.619557836067133	0.34716790419190474	0.7483883287202588	-0.555245549242934	1.0488624489174911	-1.3743133159513854	-1.283572186861498	-1.9335210410227304	-1.8163462008079625	-0.5879672154360578	0.9874090579656526	-1.283572186861498	-0.33270005268091546	-0.019628723018248865	1.4990680241921748	1.3305749355308691	1.4821592253672002	1.8743694032667777	0.31437791397712017	1.1560771814845752	1.1560771814845752	-0.13963351372580937	-1.6143866059464478	-0.16760947157316716	-0.09812628428161334	0.21624593650774399	-0.38084957131463154	-0.6367778815342017
MED134_11646	1.7955636104832053	1.7955636104832053	1.5721115184001426	-0.11786386803552626	1.200089702113847	-0.17044953799840296	0.7751938235192929	0.4130480476999944	-0.6856151329364629	-0.462261326711722	0.2014085007952066	-1.8522378842747884	-0.7733746602014618	-0.695515563337361	-0.9226218846666391	-0.10462376072134832	-0.462261326711722	0.957014865717761	1.410949128812945	0.013582132002320573	0.013582132002320573	-0.37575690344497986	0.4130480476999944	0.14888639149661775	0.38965232029067176	1.2576363764450305	-2.550016604323881	-0.2001063361460704	-0.695515563337361	0.38965232029067176	-1.1526319655733543	-1.421506449110885	-0.10462376072134832
