C0 (380 genes)	C1 (156 genes)	C2 (93 genes)	C3 (135 genes)	C4 (154 genes)	C5 (375 genes)	C6 (89 genes)	C7 (131 genes)
MED134_03100	MED134_06674	MED134_10620	MED134_07069	MED134_06449	MED134_02410	MED134_08921	MED134_07441
MED134_03169	MED134_06689	MED134_10635	MED134_07079	MED134_06484	MED134_02430	MED134_09036	MED134_07741
MED134_03174	MED134_06809	MED134_10975	MED134_07134	MED134_06709	MED134_02470	MED134_09316	MED134_08031
MED134_03219	MED134_06814	MED134_11170	MED134_07169	MED134_06749	MED134_02495	MED134_10141	MED134_08141
MED134_03259	MED134_06819	MED134_11326	MED134_07174	MED134_07144	MED134_02500	MED134_10490	MED134_08201
MED134_03264	MED134_06829	MED134_11341	MED134_07204	MED134_07299	MED134_02695	MED134_10695	MED134_08391
MED134_03294	MED134_06834	MED134_11376	MED134_07224	MED134_07319	MED134_02785	MED134_10915	MED134_08596
MED134_03319	MED134_06969	MED134_11511	MED134_07626	MED134_07446	MED134_02865	MED134_10945	MED134_08751
MED134_03364	MED134_07014	MED134_11771	MED134_07676	MED134_07486	MED134_02895	MED134_11020	MED134_08871
MED134_03404	MED134_07034	MED134_11881	MED134_07816	MED134_07496	MED134_02905	MED134_11055	MED134_08926
MED134_03409	MED134_07049	MED134_11976	MED134_07981	MED134_07566	MED134_02985	MED134_12006	MED134_08956
MED134_03459	MED134_07119	MED134_12056	MED134_07986	MED134_07641	MED134_03055	MED134_12426	MED134_09076
MED134_03644	MED134_07189	MED134_12376	MED134_08241	MED134_07926	MED134_03060	MED134_12531	MED134_09196
MED134_03649	MED134_07219	MED134_12646	MED134_08246	MED134_07936	MED134_03065	MED134_12631	MED134_09251
MED134_03684	MED134_07239	MED134_12771	MED134_08836	MED134_07956	MED134_03075	MED134_12666	MED134_09331
MED134_03704	MED134_07369	MED134_13016	MED134_08846	MED134_08036	MED134_03299	MED134_13786	MED134_09426
MED134_03714	MED134_07379	MED134_13051	MED134_08906	MED134_08301	MED134_03339	MED134_13891	MED134_09466
MED134_03719	MED134_07384	MED134_13301	MED134_09041	MED134_08326	MED134_03379	MED134_13896	MED134_10066
MED134_03724	MED134_07726	MED134_13486	MED134_09191	MED134_08331	MED134_03384	MED134_13966	MED134_10131
MED134_03749	MED134_07731	MED134_13491	MED134_09441	MED134_08336	MED134_03389	MED134_14051	MED134_10171
MED134_03754	MED134_07736	MED134_13496	MED134_09556	MED134_08346	MED134_03419	MED134_14206	MED134_10261
MED134_03769	MED134_07836	MED134_13701	MED134_09761	MED134_08356	MED134_03424	MED134_14241	MED134_10266
MED134_03789	MED134_07841	MED134_13871	MED134_09841	MED134_08556	MED134_03429	MED134_14421	MED134_10286
MED134_03794	MED134_07896	MED134_13911	MED134_09921	MED134_08711	MED134_03469	MED134_14471	MED134_10316
MED134_03799	MED134_07931	MED134_13916	MED134_10595	MED134_08776	MED134_03509	MED134_14577	MED134_10336
MED134_03829	MED134_07966	MED134_14176	MED134_10710	MED134_08941	MED134_03549	MED134_14667	MED134_10376
MED134_03874	MED134_08131	MED134_14281	MED134_10745	MED134_08961	MED134_03564	MED134_16227	MED134_10406
MED134_03879	MED134_08151	MED134_14507	MED134_10905	MED134_09051	MED134_03599		MED134_10411
MED134_03884	MED134_08426	MED134_14682	MED134_11065	MED134_09266	MED134_03609		MED134_10416
MED134_03934	MED134_08431	MED134_14737	MED134_11190	MED134_09321	MED134_03689		MED134_10431
MED134_03969	MED134_08546	MED134_16709	MED134_11195	MED134_09356	MED134_03734		MED134_10550
MED134_03974	MED134_08571		MED134_11331	MED134_09461	MED134_03744		MED134_10575
MED134_03999	MED134_08861		MED134_11386	MED134_09716	MED134_03819		MED134_10580
MED134_04034	MED134_08931		MED134_11401	MED134_09721	MED134_03859		MED134_10615
MED134_04039	MED134_09066		MED134_11406	MED134_09806	MED134_03864		MED134_10835
MED134_04049	MED134_09071		MED134_11531	MED134_10031	MED134_03894		MED134_10875
MED134_04079	MED134_09161		MED134_11536	MED134_10121	MED134_03949		MED134_10880
MED134_04139	MED134_09291		MED134_11661	MED134_10356	MED134_03954		MED134_11311
MED134_04204	MED134_09296		MED134_11826	MED134_10361	MED134_04064		MED134_11481
MED134_04224	MED134_09351		MED134_11831	MED134_10386	MED134_04184		MED134_11796
MED134_04274	MED134_09386		MED134_11871	MED134_10730	MED134_04194		MED134_12021
MED134_04279	MED134_09431		MED134_11876	MED134_10750	MED134_04219		MED134_12281
MED134_04289	MED134_09436		MED134_12051	MED134_10955	MED134_04234		MED134_12386
MED134_04329	MED134_09446		MED134_12116	MED134_11035	MED134_04259		MED134_12441
MED134_04344	MED134_09476		MED134_12136	MED134_11045	MED134_04389		MED134_12516
MED134_04374	MED134_09481		MED134_12166	MED134_11100	MED134_04399		MED134_12526
MED134_04379	MED134_09561		MED134_12176	MED134_11220	MED134_04424		MED134_12776
MED134_04409	MED134_09631		MED134_12261	MED134_11245	MED134_04429		MED134_12906
MED134_04414	MED134_09846		MED134_12621	MED134_11250	MED134_04434		MED134_12961
