index,D_10_R1,D_10_R2,D_10_R3,D_18_R1,D_18_R2,D_18_R3,D_18_R4,D_25_R1,D_25_R2,D_25_R3,D_34_R1,D_34_R2,D_34_R3,D_34_R4,L_10_R1,L_10_R2,L_10_R3,L_18_R1,L_18_R2,L_18_R3,L_18_R4,L_25_R1,L_25_R2,L_25_R3,L_34_R1,L_34_R2,L_34_R3,L_34_R4
MED134_07339,39.926015263539924,47.890950978244156,36.90626168471604,48.84062674631073,49.47343039785724,46.224397260813355,48.972965184474305,53.55494587122427,52.4515428799845,59.304143302279016,113.07281887929474,105.66573421461631,94.08661532090906,84.52880893507978,44.78242309133032,35.97697107230004,40.41498843860873,41.817936986540325,46.03369569855478,40.69176944234005,51.78089816069508,53.52052012576048,48.01235416024484,53.68456727790167,81.70264492138014,108.12581832226448,92.26477282131248,76.70300909600633
MED134_07334,94.16231319779119,94.87968375255348,92.57993334864015,81.07811293659105,104.93085542830293,90.75566907175306,94.53921577322788,94.94037644263307,100.64012727250902,132.36124948968117,117.9703898245262,125.22463467510894,112.24048972903681,119.01446187374466,95.46640581485147,96.88612447470814,96.83272933730305,78.09235440165591,83.6550138152077,86.35403944982686,81.22528846777934,113.95229542466747,93.98760909733235,100.01423758818845,124.74570009004465,127.69219096924404,123.93067526818642,118.17661715378635
MED134_07329,132.478130042791,140.54477117276136,140.44154875885226,95.13520053647504,92.39153441881909,86.25819642733377,86.14472371198347,64.903243528659,64.53762935897518,90.58485939199913,118.88945342876667,122.495324345724,126.69432292086266,110.15562923500775,130.6411377078119,114.28779554468123,137.44030006581676,80.76992290535651,97.572461596849,80.21561081650746,95.76364148003593,62.295150476665434,57.00413493898599,60.34152693489514,113.89876308578421,126.04580847093288,123.55235881578749,117.99205792339954
MED134_07319,66.13278019608038,59.87426223273563,151.41709522545668,57.76867876881206,54.51816021389962,48.030271513726596,71.75301722452579,28.578800589335586,44.16608027842577,47.8303008428762,52.61401761091622,73.35080386806374,59.75056619651098,74.68669002985031,106.00396351998445,130.225559233968,103.23188918962416,64.12052951445098,80.48569835153653,98.38894141596332,97.63493316568736,36.626498998676034,43.354078429363774,46.92942182771828,62.571880081513484,75.44855360778266,67.54388493813788,52.466697867456105
MED134_07314,80.51311706121734,83.8119485695423,78.37469982545818,65.99948811350724,73.07858130774488,74.69870346617724,72.84099864205076,72.72371271574697,62.92272849763974,80.6014028708878,53.249265196817596,56.868045017487844,60.44640742980263,51.75809715722482,79.48880098711133,74.65620134300843,88.92361008821251,66.96899163385861,83.08945879223165,71.42003945504831,75.80526021198875,65.51588730213952,61.49727854006996,73.65416324454291,44.596067140704776,48.149778471633404,50.96265271572665,59.357229139016304
MED134_07309,195.11409876384835,194.06012453333418,198.81586731017032,169.51808811618852,172.13327469710663,168.39732167695777,177.6376786078595,150.0325129188712,143.53051959247196,174.3213788986925,113.77060196169477,125.2116544420903,125.90344011567805,113.61680337763778,184.92052293747608,193.43592912029735,202.00159375667593,168.98206092936377,171.42878772051577,165.99641951262907,173.61997454224002,149.01723755102748,143.5601372542603,156.3936467874754,93.33306531836323,107.48498642488038,111.40555914163501,130.01264446957867
MED134_07304,145.818502902817,153.46414514627057,148.8933180036201,130.35289553910562,136.06282736152085,132.19126278584415,136.80903709902853,121.80621112179664,115.82833946270199,135.5119018975745,98.71309146127321,100.6017799469671,104.1627005700586,117.8647695882946,137.87344432055244,129.17244766748772,145.08696118916205,126.25568001427536,148.40252866674754,123.20851473633961,146.13004135777234,114.86145398111994,112.96714941922497,130.52209519986292,88.1577221368405,94.82293713104099,113.40899159965578,119.63857536872356
MED134_07299,425.6687787785701,444.00100865090644,378.4182765392146,378.93712191398697,391.35685535674463,380.67460004987987,375.42043130810856,415.0716095367825,375.928241264573,417.8518441579124,426.8697518347146,457.8424876712901,422.6134555800693,368.6456394636947,429.4314500007926,374.1441813269234,416.69629563213886,365.5200418326327,332.9368557876878,299.46064780780927,349.6910455107641,409.56696716654216,368.88497851291834,367.70949678898523,391.27838267318674,419.6187750205738,420.99532884561717,428.064676642175
MED134_07294,33.93225227174145,39.010859516586514,43.96078476671849,36.22617985046249,35.01845334727472,40.1427379839722,36.775981439755945,34.5740860427084,34.36387164972181,39.2736567555633,59.91184106176096,63.58843978167815,63.03285984679794,50.1015429097943,36.98012463521196,34.51249454471468,42.86664101996329,31.725770405134757,34.7337755197599,35.227128846217425,31.38611875408617,34.18838441867763,35.56007787378752,36.69203455066139,49.85276416176164,49.49264261349013,51.87268089969605,52.53078202330049
MED134_07289,143.7250563812067,152.0657023171324,155.05333838969125,141.8549458588632,139.0403713127813,145.71395735731187,130.1423459936064,87.54743592062971,117.31349545925106,325.40680657662386,520.0378707473575,473.7801999878588,559.2918158929672,220.49711194030698,152.8174391664982,144.40618028743145,136.87477348108487,94.86554693192541,118.54746740967636,100.78906758932547,114.81442491684388,115.48134602866865,97.9966442949283,121.75842097611788,185.79631270171757,412.0584000953463,263.90713359618326,230.03982156552635
