Genes	D_10	D_18	D_25	D_34	L_10	L_18	L_25	L_34
MED134_06319	869.016491278941	679.3050837589935	116.418463594931	552.9157488611161	835.84265567421	654.282492870224	96.8496655728233	479.078512405102
MED134_06329	2323.47888884847	1869.86682762572	207.280306164828	1557.6477628591151	2415.79323219447	1756.17068276746	179.93755169402	1251.236715475655
MED134_06334	1247.41283975088	1099.98967204685	107.815237643697	666.006119382108	1255.31995909943	1132.9531651798452	95.5405630762379	569.3682721305215
MED134_06339	45.1258247106175	45.50709746148775	50.062539322662	49.4364285635776	49.3739812010274	53.31792029438235	46.3910598453319	51.62154901294525
MED134_06344	140.017523785813	166.25005719281148	189.223110723672	227.53367192122	148.105693135883	163.9353745194675	182.742240837956	230.7683227934965
MED134_06349	83.2103047996417	98.74676378200886	123.42200194339	129.20614695655348	83.4001398709411	112.651238806594	114.823889129446	142.8799722670015
MED134_06359	87.7866802940787	96.668525979845	110.943169308059	142.08974487360348	75.3292271135421	122.1513874549815	96.9362566812095	137.05436284330148
MED134_06364	79.8838634845417	55.090025227292244	48.5191732243032	62.1380793249014	76.0309969422858	58.31121380789385	43.4735033011178	59.3165758067989
MED134_06369	322.070490738259	360.65422911869496	387.073223396267	515.0075431273815	319.634862153341	342.6037034124485	351.134940470618	534.4251519368675
MED134_06374	261.643403006776	315.753301268408	284.083494692473	537.0469113807075	306.872127990358	317.10672092974653	269.054022260034	528.8336730183034
MED134_06379	80.5336806520533	83.60715297540135	108.962178228637	125.87215886540949	80.9225066945532	87.25324246898154	97.8933900417355	122.3460432151515
MED134_06384	124.425415484257	133.1430797745465	172.792917482627	182.0143152885355	128.106122401591	125.303015466852	155.657061849166	178.8382782619065
MED134_06389	169.553078243075	194.123253081754	226.868373067822	252.3325919737915	181.682044407069	188.41223686795098	201.545121210764	235.20090976891152
MED134_06394	261.685486346479	294.27094689632554	278.184702751954	315.27632461104804	276.102028908089	303.405732729212	289.926991908945	297.56224647798797
MED134_06399	71.9841514041895	69.81356202001055	89.155327076628	77.3956554115612	68.4592191179389	67.0218620081479	93.481714528581	84.94567563058669
MED134_06404	51.6115103444194	51.47421510016865	70.940000698589	82.67366370257645	50.9028832404598	56.8416874118944	72.5240008625961	86.75024334799144
MED134_06409	159.821011704228	155.77957780172648	199.015234609666	276.121420286408	170.608158186437	175.1618107714625	204.60870591333	270.558797409267
MED134_06414	202.400151189164	223.567654413941	288.658378440436	316.2095109271005	207.771477518493	248.049118112104	274.449830710414	345.75973648180195
MED134_06419	280.650404925846	289.032280162958	354.78613233631	251.4975847631085	331.740278125109	294.0813167089375	359.615201750387	337.62777987383447
MED134_06424	7.77806731528604	5.03738568694735	5.18311083850223	29.0745963385	4.7854475895039	3.9435670108602396	5.12126938869091	33.11016961938155
MED134_06429	21.3765627801955	35.50738748472125	45.8138410474548	64.7736166753502	19.8958048024498	33.3278024637708	44.2666622670613	64.20812909347521
MED134_06434	46.6255723072246	52.9538454722223	69.4756179700096	88.69799918967016	41.5432003461384	49.962328537525195	66.3125302753871	94.0724025195685
MED134_06439	106.422724362893	101.6089673681535	115.389379639897	141.5604877092655	113.199725810906	111.98700203166001	138.15154154852	200.66240959399352
MED134_06444	77.7852489215882	65.9376611643531	86.9944459223273	55.4487713079969	82.3916177333266	72.9674330718666	87.9111755208727	86.3467983277614
MED134_06449	195.019832029222	190.0874127723545	194.400772211221	208.63108939015302	190.908623642288	176.055381514877	180.582442459604	190.516949164401
MED134_06454	109.758406121316	113.8649377683515	125.299914284964	142.844623235165	110.98123872215	133.05850687406098	120.767450102354	155.04455011896448
MED134_06459	65.9099591434286	97.8067966879753	114.589800529487	153.29823290304648	65.6540514987273	95.14171116527416	108.657992068216	151.228136296998
MED134_06464	35.919255082584	39.2073005433238	42.460197017184	74.43981671418871	33.6418625021918	40.1316982959171	42.3283022918145	71.87429020122386
MED134_06469	38.9100494850608	41.455940054869146	42.2493764887413	74.28575945639244	36.9683083148544	44.839593441068246	43.5893546871812	74.21504486787795
MED134_06474	29.667416191994	35.972195074323	40.4944149826118	61.187089792644855	32.2139264744489	34.20770947982195	34.6998829733737	58.296462747498296
MED134_06479	16.780049751763	25.50211019504405	24.0842750040729	35.012059615043455	22.6279241645701	22.4847233278774	23.3836064439302	36.8351484416338
MED134_06484	324.975198635052	234.3398794122965	217.81336454962	232.285211715286	387.760515323177	311.612155326824	189.399330686142	262.2476653492845
MED134_06489	651.284458636013	795.9714353390185	665.302690115219	612.2167544446861	669.370107108021	828.971086431454	561.953754952188	527.8106429237945
MED134_06494	194.942731402718	228.0976790564645	245.708650704219	336.9956606193375	185.187039782822	229.120809472431	234.508108324674	318.386610770649
MED134_06499	162.580826173143	149.2250172571005	164.65695497174	239.62437826788448	160.530098325112	144.4337445846895	146.534947799316	231.342824903518
MED134_06504	93.8251884082117	90.27097683748525	104.780235391196	167.3555217736885	89.8294598370417	91.39552857591985	97.5706031528429	157.5489259741815
MED134_06509	29.7364331123476	32.461939778041696	40.7045236043782	76.0139738268978	27.2198392540013	34.38658844666885	38.3506513929898	68.02223922062271
MED134_06514	15.9029053018463	18.85078907264245	17.6441457586668	43.0613596456948	17.4880125183263	22.078777075663048	20.5914053933803	43.272485962454596
MED134_06519	27.0898074252747	23.0579940200901	20.7440077923084	43.35746094313415	25.9033606810542	22.953158743955548	20.3539021332197	40.39967135298695
MED134_06524	22.9102371368038	32.158545481332	31.2854887057125	66.11915865189854	26.1657309941898	26.665933691775948	31.6256316367171	50.5808913220375
MED134_06529	20.3580836203522	22.0061874692257	23.6132276882065	53.44527470267805	19.236704853062	21.55036644673615	21.175877583867	57.0270401246434
MED134_06534	647.640628617454	823.162857629643	963.260110699412	962.580554788924	653.565925165874	810.818948148026	958.167935479974	1004.8359317112895
MED134_06539	654.135607710142	808.9603816411145	1039.87425370826	927.2019515493865	661.771245865859	813.2177513128785	837.318960489407	729.62334643197
MED134_06544	390.587528054546	314.8474440291765	315.56039315589	279.3850737680245	372.562368030486	360.82979790225204	310.48302208942	275.9895024375365
MED134_06549	479.713255368543	341.9369931609195	343.673169231315	317.830533315613	422.184116327841	326.5316751609825	313.31461241718	301.627297368406
MED134_06554	149.693218628736	136.37584130975353	154.076310665548	146.69488209662802	148.444923219156	137.3404941913365	147.441366766925	152.6157694456235
MED134_06559	60.5899214496504	80.7925707073106	106.24840205505	98.76134319709786	62.6403273762466	98.5353559879388	104.19356377564	109.71917805896899
MED134_06564	235.551462646792	192.564724305313	189.193418509547	159.271078812844	227.85073015785	182.4612267871315	180.275614089654	177.536498826634
MED134_06569	796.65937107097	645.5360418206525	753.781783128123	668.0788638985175	748.231933192512	628.537670407069	710.132322634069	693.9722112740014
