ID	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07234	59.78879172813197	90.4933230785581	47.47254630062402	242.70913398247987	434.561010962819	261.7183644977115		183.0295885718897	248.09317889229246	431.90714134157656	322.60081825214746	227.17424228868703	207.6840199241811	18.349035053737786	71.7908936809733	84.40209129154073	144.9180129885576	148.70021375896567	73.75117072453835		159.1842562139694	124.21603868842367	188.04631597654026	181.7949819204013	178.36543340072802	225.65441809447938	238.83561821386988
MED134_07229	72.90700763472633	97.8877191277788	64.5819411602398	329.1804043891934	617.1780894997235	366.671414220144		273.1900412933491	320.71429148121285	576.0723315713943	449.4447144500131	315.93768795115415	347.76745470125076	28.457485502503513	95.87558059329982	103.43745656154778	225.13458965420566	199.10706588064895	120.66092897449981		220.4996734223132	193.7770203539409	268.11765052138963	255.55051428761126	288.82683338398596	365.52285906213194	356.341722799349
MED134_07224	33.30008653212413	36.26775205093962	42.652998452844926	97.77149324395447	195.29882010196727	118.68108576207558		99.44736630650245	82.69772629743083	371.8873478581422	275.9266573135389	189.56261277069248	332.74510244633717	9.888701525966471	35.20069625647722	42.021466728128786	86.81876404553677	90.7323338190299	55.18795088230761		58.072774952133294	61.71575816940627	89.37255017379655	279.91013965659806	229.3716889170766	322.6298704987185	240.36498183103444
MED134_07219	187.1868500517887	269.7193987477646	159.28605636909887	728.1274019474397	1366.2462912761002	821.025123145105		495.3020578689615	777.9840721846539	896.1778968163775	770.9473171506639	516.5330453804584	524.2800936964861	58.4532134646018	213.05684576288849	218.72712168743956	497.80492844361015	436.64935650408137	251.60688515888424		445.12634607980334	378.92429486215974	561.7125438525042	405.31709988953	386.4584390349107	639.6650033587309	623.4705679307638
MED134_07214	193.49368462226676	308.8040635793597	160.49094333104367	1347.6744018500858	2171.959605376424	1895.7974930874834		588.1711937193919	823.5025685920633	1101.5397392253833	1121.5526319659764	732.9252872073203	600.8940901965456	72.51714452375413	222.32018688301406	272.24163914462923	811.0787196193303	669.7810475668667	351.19605106923024		419.77477934943045	361.1417882709749	475.5751991148631	614.1783322199166	515.0693041712252	849.4676648102096	1097.063501379398
MED134_07199	51.71604347792006	83.80315522450128	46.02668194629029	155.74654953936465	328.87983125396227	188.64978557703063		124.59942393266064	210.91394900227107	391.30551633807687	301.73472277371064	220.404148975448	202.4261966349613	15.052801211748962	50.02204204867816	86.91619613852279	101.67368565028642	120.97644509203987	56.94393113765376		111.72376500943408	92.0506223543687	133.45222424141565	221.94325336187953	239.38518693255608	303.98074503636485	308.42166279485866
MED134_07194	232.5960589592307	342.95913104480775	245.3149854519556	883.8739514868043	1567.4632574417635	999.9324315327116		662.466502399736	739.4149645417344	1275.714826196918	1057.3070222034212	660.7109585327709	1012.5065419811795	91.41555188449004	311.711428692226	341.1999435189944	673.4231127486502	571.4876859295842	359.22338937938406		534.4464009554196	488.2344089079726	730.3476272121112	959.7241291207291	807.651199311016	1136.6641969304562	1027.2225628622152
MED134_07189	388.50100954144824	598.2418517917129	389.1784887081614	1284.7862051906577	2510.9848298824368	1425.9443886338931		971.2563791024169	1335.3250510967507	1487.5493914325689	1330.213586750344	763.2653350185026	938.8970159321026	126.13588168677232	416.38718334964506	595.4836908994661	856.303703171568	950.799248145251	441.2527527362686		819.504133842287	607.4818060488592	1032.0305341336145	876.7209611967739	953.1598423484519	1147.8536722078684	1094.769455953651
MED134_07179	97.37752576818119	130.98644430048097	80.9684038426887	223.54788656281045	450.62455027856527	254.19008666952016		170.26008239245553	195.6252937203931	326.5782880716281	256.9824390502213	162.73298371452304	203.55287305407984	32.19321719009085	101.89675232138144	124.98692667853689	178.5891686259901	181.4646676380598	85.29046954538448		131.769189866008	122.90850143907184	195.72992888740967	180.8927735734018	170.85530988911842	209.80266145147877	241.38455757581085
MED134_07174	288.09620317943757	422.5369170983257	270.6176116527958	816.5639284997603	1564.926909128751	875.9372673036773		565.3408644894945	702.5832040899376	1004.4488968257101	825.8580947254975	487.4467185532092	651.5945290568792	111.63245278202149	302.91125462810663	405.8483538699618	594.1968641899856	545.6541742172216	306.29312739680717		467.2352705539658	395.1377567541224	580.3149751103984	580.1199671206851	511.00132060243664	655.9829881382904	714.722597088251
