C0 (261 genes)	C1 (318 genes)	C2 (161 genes)	C3 (59 genes)	C4 (126 genes)	C5 (74 genes)
MED134_12806	MED134_02780				
MED134_12811	MED134_03065				
MED134_12826	MED134_03075				
MED134_12846	MED134_03564				
MED134_12856	MED134_03599				
MED134_13056	MED134_03729				
MED134_13091	MED134_03744				
MED134_13136	MED134_03844				
MED134_13151	MED134_03894				
MED134_13161	MED134_03954				
MED134_13291	MED134_04069				
MED134_13376	MED134_04194				
MED134_13441	MED134_04219				
MED134_13446	MED134_04389				
MED134_13501	MED134_04434				
MED134_13506	MED134_04944				
MED134_13661	MED134_04969				
MED134_13816	MED134_05054				
MED134_13916	MED134_05064				
MED134_14126	MED134_05284				
MED134_14141	MED134_05384				
MED134_14166	MED134_05434				
MED134_14416	MED134_05514				
MED134_14522	MED134_05529				
MED134_14582	MED134_05724				
MED134_14597	MED134_05789				
MED134_14602	MED134_05794				
MED134_14622	MED134_05914				
MED134_14627	MED134_05994				
MED134_14677	MED134_06064				
MED134_14682	MED134_06129				
MED134_14722	MED134_06204				
MED134_14752	MED134_06254				
MED134_15304	MED134_06284				
MED134_15306	MED134_06449				
MED134_15822	MED134_06549				
MED134_15830	MED134_06564				
MED134_17141	MED134_07144				
MED134_17467	MED134_07299				
	MED134_07456				
	MED134_07506				
	MED134_07516				
	MED134_07876				
	MED134_08271				
	MED134_08336				
	MED134_08561				
	MED134_08961				
	MED134_09096				
	MED134_09221				
	MED134_09231				
	MED134_09256				
	MED134_09341				
	MED134_09886				
	MED134_09931				
	MED134_10041				
	MED134_10381				
	MED134_10461				
	MED134_10735				
	MED134_10740				
	MED134_10900				
	MED134_11025				
	MED134_11030				
	MED134_11040				
	MED134_11045				
	MED134_11175				
	MED134_11245				
	MED134_11421				
	MED134_12196				
	MED134_12311				
	MED134_12361				
	MED134_12401				
	MED134_12406				
	MED134_12411				
	MED134_12591				
	MED134_12951				
	MED134_13046				
	MED134_13111				
	MED134_13116				
	MED134_13411				
	MED134_13421				
	MED134_13456				
	MED134_13461				
	MED134_13806				
	MED134_14001				
	MED134_14066				
	MED134_14076				
	MED134_14226				
	MED134_14326				
	MED134_14341				
	MED134_14381				
	MED134_14527				
	MED134_14612				
	MED134_14692				
	MED134_14767				
	MED134_15094				
	MED134_17085				
