,index,D_10_R1,D_10_R2,D_10_R3,D_18_R1,D_18_R2,D_18_R3,D_18_R4,D_25_R2,D_25_R3,D_34_R1,D_34_R2,D_34_R3,D_34_R4,L_10_R1,L_10_R2,L_10_R3,L_18_R1,L_18_R2,L_18_R3,L_18_R4,L_25_R1,L_25_R2,L_25_R3,L_34_R1,L_34_R2,L_34_R3,L_34_R4
488,MED134_04899,0.027396889374156675,0.04809878572969275,0.021953040446633747,0.12887167174818723,0.24374307288050726,0.143790106518455,,0.09081827576706662,0.11574206987258072,0.04254344185149317,0.04055160923901462,0.05172852779708183,0.05640893271720072,0.011108308047502336,0.03237537721483892,0.03904045669527863,0.08582843593855347,0.06697810475668667,0.0318334134862038,,0.08410234869971384,0.06712896238172285,0.09054531214440294,0.02483328475116152,0.022436493990933684,0.0674632113600644,0.08870308979554613
489,MED134_04894,0.021039600127114793,0.03725367152416906,0.0169166129457046,0.09870498991311785,0.17137260101588214,0.0938377689290441,,0.06818142390352425,0.08665887789319013,0.031245598372258467,0.02542369001714796,0.04067070871879143,0.0425132568814056,0.008910818819509786,0.02232465209950266,0.030277005514369716,0.056184614602853074,0.06200042810967044,0.023931502337146117,,0.05668728235175244,0.046286818627054714,0.06818195456697783,0.016803630462865878,0.016929070082419978,0.04680930491050771,0.05638253868613449
490,MED134_04889,0.07303314432613589,0.12204274622189976,0.07438972103047023,0.34264240898660225,0.6469379097057376,0.334831227405617,,0.232985444564767,0.3050086728734655,0.115744052727368,0.09988270440862233,0.13931347573465178,0.1502235225491364,0.029017845255641612,0.08841859099159871,0.11256006557773984,0.2136137726762998,0.21826166968688862,0.09650365774738062,,0.19759482766708092,0.16406977404866738,0.24919169871987978,0.06080884258776699,0.06148913625130362,0.18588515804601022,0.19443309452885799
491,MED134_04884,0.06097447662738185,0.09531728621543065,0.05662968721140429,0.2775432991633662,0.5171614210232615,0.277439179962464,,0.18221698363319844,0.2371131446443983,0.08096787826784868,0.06641458547676125,0.09302609700783983,0.11026406555106612,0.02321647369374128,0.07202247720897643,0.0890711431502217,0.17792894988800123,0.17799919655469407,0.0819541070602268,,0.1564722281451388,0.13465018593825123,0.19686225079006409,0.04695994446132451,0.045530123789133216,0.12797962348540207,0.14386213758794894
492,MED134_04879,0.09644411425175044,0.1518668102870899,0.09887302409718798,0.4402665080196362,0.838432207338186,0.43584300226505523,,0.29424037875278,0.37432882579925314,0.13669213751178233,0.10940972431785596,0.15225187628884188,0.192736779430542,0.038587910843549164,0.11060429297429948,0.1441300392991289,0.279701668348986,0.2648880078994456,0.13099612704882288,,0.24470157608002965,0.20052391256059635,0.3120760043851529,0.07384575320190992,0.06781015687357503,0.22504832151695292,0.23011824559603172
493,MED134_04874,0.09137341925708607,0.13690196113985753,0.07385957076721453,0.37708352293836706,0.6679896007037418,0.3572832089285171,,0.22288592604103272,0.28975476453541,0.09950340272596811,0.08236616636225041,0.10215318577087316,0.12509863840279334,0.03462144278702261,0.10374942054540655,0.11855800142696847,0.22747836617406614,0.2023205027034063,0.10801787113600754,,0.19594402797301014,0.16391286957874518,0.22140937203689418,0.0550798195843201,0.05250828021867046,0.1419198447685114,0.1557401950145939
494,MED134_04869,0.11667643955384403,0.15943726338510159,0.1553822226123978,0.36548851167928503,0.6109217636609592,0.43920858529412904,,0.26525746927279154,0.19176838295610119,0.417078721775081,0.33808565752825054,0.229781981935268,0.39347296143682553,0.04219179317745694,0.18151516924886085,0.17706481279459393,0.33618338138393405,0.32877869296367923,0.21989889883377658,,0.15600057108969,0.1919987696948224,0.30184466719331104,0.24955082878006452,0.19491899730756754,0.3980189601802832,0.26404462850346616
495,MED134_04864,0.06427925794231235,0.08855669554185744,0.05477416129000934,0.1802631199558135,0.3560187582031967,0.19918937453649851,,0.1220068272235028,0.12237873614266866,0.17140946903651397,0.1541070972637705,0.078056668459678,0.12066704448759383,0.0235351096318002,0.06873399111133184,0.08705985927263604,0.11692473849782939,0.12702526734664188,0.0680818630429922,,0.09760353191193569,0.07826917974620042,0.12463628942789186,0.11248282566216394,0.09925879907844024,0.11767598166745165,0.13715842706604417
496,MED134_04859,0.00635728924704188,0.009471869224954136,0.011374132920758648,0.02063518952887481,0.03703068536998341,0.025640428603075284,,0.015013843629152899,0.018103157731496414,0.015711063588310755,0.014716088390055407,0.00802381429717217,0.011454543594371652,0.0021755143357126234,0.007781206540905492,0.019933259858214935,0.0155811622165374,0.01613019267893865,0.007023921021384605,,0.011319769330771157,0.009178911490449833,0.015650306297402383,0.010307730364469405,0.009575407477302242,0.014546317860635863,0.014885805873735326
497,MED134_04854,0.08915341348827781,0.13563435038856256,0.07050998501300806,0.2070397349397106,0.3933876233482484,0.22164135605939864,,0.12359334162761433,0.15340775697611644,0.14116420055564607,0.11264946019477115,0.07078508675286573,0.08401250498560453,0.03266567737410925,0.09050284274362697,0.11945589601517637,0.13798571623967443,0.14044609172404005,0.06908528033176142,,0.10603440177808295,0.08914788966080762,0.13272430301828067,0.07440963341878461,0.08095287301889184,0.0942713292121978,0.08913640948707609
498,MED134_04849,0.1106218783661851,0.16739504199045338,0.11783794487819872,0.2997506936087267,0.5566439097624903,0.33567262316288543,,0.19405779845412832,0.23874625100405347,0.23596016849859974,0.1957294666654944,0.1394388478330451,0.16520831892341276,0.03791767662901144,0.12908465850895,0.16822953004662838,0.21120397428264043,0.2273349030687916,0.11817747118479598,,0.1631343840533531,0.148065518116601,0.22889078460800386,0.1274594842223558,0.12153883216288205,0.17684033219676867,0.18752546885799792
499,MED134_04844,0.1481349303913886,0.23116290506254236,0.13207970876838593,0.3609192911407485,0.6787268085621616,0.4199007668641794,,0.21158684784589704,0.29767706772692853,0.36253132122690096,0.3237813999700064,0.20796723681483115,0.2045293259506492,0.051662971750104834,0.158217866331745,0.20888619700068123,0.23550002384063093,0.22998126280517997,0.11739982278599982,,0.19724108487549433,0.1611408906101193,0.24251908750780904,0.15353330545064164,0.15276842909865865,0.2353053405212474,0.246992224172081
500,MED134_04839,0.44064591777016077,0.6350377749890254,0.31286094853857954,1.2833122630814526,2.551650947834405,1.350484474403081,,1.0005101568953025,1.1433829334215375,1.3711580664225365,1.1905205685999676,0.7173791470065491,0.9441548392213223,0.16317456262458674,0.5297241619543815,0.5009892644364687,0.8733043356747816,0.9467666999755162,0.5007052270958454,,0.8367196163661681,0.7246894450807572,1.0717022407944716,0.7882143223561221,0.7129923508834365,0.997448475353986,1.0194228084146757
501,MED134_04834,0.09144910127193182,0.13795830343260335,0.08383603481211725,0.29783456886675974,0.5458221569603035,0.29377997124836175,,0.2017195021617888,0.23530630356563093,0.27079518589290674,0.23100964125732498,0.16802368626672096,0.17850310066901132,0.03575314973943877,0.10805687416626494,0.12462776884325374,0.18845943875892376,0.22519261185362005,0.11331089733426522,,0.15573526399600007,0.13070142344520874,0.2103692334860134,0.12976011550720457,0.15082831385815948,0.19283195728073696,0.18571572191101984
502,MED134_04829,0.17245408449515198,0.228733317789227,0.1490445171925683,0.5284082461501156,0.9706604993899076,0.5923868971042109,,0.3533670619108873,0.35445357393281174,0.2421975195860939,0.22079623662840595,0.14510566668042293,0.21181516679428233,0.06183734687571034,0.20717462415160873,0.2150277959840231,0.3961972646671226,0.36154314684277333,0.21453061633886122,,0.2667810219882265,0.24110986878047708,0.33884732936934,0.16014198159241308,0.1356828981097468,0.2103155124016935,0.2290476910640165
503,MED134_04824,0.20714167463278127,0.3134167582576831,0.1395982034109213,0.6087872225054471,1.212628128451306,0.61111902370024,,0.40773420185666004,0.5676955681711869,0.4690958761273908,0.3882191974540736,0.2511453875014889,0.29744257464729007,0.07184691030921639,0.20458088863797355,0.256833768010982,0.3632853605783773,0.3697342603125469,0.18003814703741897,,0.3700149599995822,0.2984584525370482,0.4204553864963632,0.24262637971684328,0.2280574173025449,0.32980978380172465,0.33582276093572416
504,MED134_04819,0.10900732871614272,0.15574006536049123,0.11147614171913031,0.3623441018463136,0.6622405445275801,0.38690919638181137,,0.28220608656549506,0.27762808114137494,0.37759511253254724,0.31279924445503965,0.22531873523246596,0.31133825048308517,0.03940098185790641,0.13274367825139963,0.1537913850682457,0.2753442246782594,0.27282708710861076,0.15527882543703822,,0.22524572254276673,0.2123702000397239,0.325057266197727,0.20362842391778946,0.1852184211050718,0.31568307126399175,0.2678170587591388
505,MED134_04814,0.18751480544945356,0.26802925107937126,0.17468451174275307,0.6297663318598032,1.219645358783974,0.6746665453676199,,0.4396192718319744,0.5904548163748917,0.6673965663618749,0.5723899454400655,0.3667886110594828,0.41747116916405,0.07416526144474853,0.22352442122863037,0.25169781096643296,0.4111512190825705,0.3738298170474336,0.21187156052362274,,0.41078381672993775,0.33185295388549396,0.5054604093313498,0.31085588595868124,0.29154925315694435,0.4453877388546615,0.4570503169896372
