"","D_10_R1.sam","D_10_R2.sam","D_10_R3.sam","D_18_R1.sam","D_18_R2.sam","D_18_R3_T1.sam","D_18_R3.sam","D_18_R4.sam","D_25_R1.sam","D_25_R2.sam","D_25_R3.sam","D_34_R1.sam","D_34_R2_T1.sam","D_34_R2.sam","D_34_R3.sam","D_34_R4.sam","L_10_R1.sam","L_10_R2.sam","L_10_R3.sam","L_18_R1.sam","L_18_R2.sam","L_18_R3.sam","L_18_R4.sam","L_25_R1.sam","L_25_R2.sam","L_25_R3.sam","L_34_R1.sam","L_34_R2.sam","L_34_R3.sam","L_34_R4_T1.sam","L_34_R4_T2.sam","L_34_R4_T3.sam","L_34_R4.sam"
"MED134_09121",37.5370727765428,39.6634382692932,40.8235052607507,46.5132908392567,46.9214685852887,50.7506689891633,47.4754951660116,44.370739498226,65.7326183879278,58.4012771753469,68.2444513944751,75.3182086082448,75.78349080951,72.6775235508006,70.9739271157338,64.421493107251,35.5121547861639,30.6956230344767,40.0115428140226,44.7680675027773,50.0125656545724,42.6227949696949,42.1213462690391,53.7212169476953,54.3057666250349,64.5269359834028,64.9404886834605,75.0276588694333,61.8088384700096,51.0453843931463,42.1629369521234,51.0322891625855,66.773717126604
"MED134_09126",256.678575778564,282.262015126405,191.674183982034,323.553699246444,313.311466647805,314.788074228622,333.352701948466,290.030834710425,358.081163433721,339.032485690899,433.963178241818,514.070690393712,485.183282301584,512.613637471784,508.03654160821,390.358006671318,247.074420411427,229.051385755726,231.590708608154,282.038178415792,274.429537409388,270.822969517221,288.960794276442,344.743089759251,302.840810127837,341.033575580223,378.217547505757,474.511181429264,429.764771796736,412.538090349594,407.308416055077,414.115385087602,415.633328948373
"MED134_09131",41.2945661000927,39.9780953942794,40.468784669879,65.877631625479,70.0309942807378,56.104078785362,66.841030304897,62.7939928059738,90.3242035741572,85.0853877926843,92.6543789762495,127.790487323705,115.308427668734,119.664360044162,136.400369055872,123.716454156351,40.3994231037725,44.168724831469,39.9702119112981,63.9898921290018,61.6854918233176,64.8825774701571,64.9759685651712,92.0673994575579,83.6430798946451,83.1018834357063,114.095886884646,120.430410234034,136.620324175674,123.370395394059,131.311703376626,123.27872503487,122.200039671003
"MED134_09141",67.2861022048884,68.6908160418437,87.4664841273509,65.4885137765811,62.0769816942321,73.485871827108,64.7427525390894,65.332094963998,65.2578056053511,69.9381703021047,74.6769255604702,90.4012004196157,98.2088363943804,87.6119970885526,106.421869966214,93.4610123475642,63.122741162774,63.2904711399504,82.9909908703147,66.5498208903948,77.0161921173887,76.3549445976897,71.8259570432698,64.9226047492622,66.696377921569,75.9449587820833,79.6068392414344,84.8273217081072,92.4484707593044,96.2608070334733,97.5979097802104,95.7097739809535,91.2254310731513
"MED134_09146",113.531625886052,103.758812276449,116.249888906065,116.66600108859,113.387332670332,134.42103036622,119.987529892355,115.219723918532,108.43411954404,99.6420020043401,117.113339080539,129.348452091653,143.784103872991,136.808674881107,146.386466018979,106.336996000303,107.044828159502,108.495571315048,117.809945579989,114.34210820505,112.407680685836,110.796241503251,115.422447853593,99.2945790210012,96.982504895275,105.703814685205,90.4878919709701,100.136279206501,113.32309966828,114.603808291803,110.391854594584,113.219412853411,114.545320303993
"MED134_09151",176.997154322813,167.392930935926,189.261455296215,176.38626203729,163.898161173352,155.462576095697,173.308490850828,170.665471724421,151.647947605978,167.616892361668,160.197326749489,182.714370478768,173.728999784316,177.30372687987,213.447773976566,215.718213444805,181.513985429195,174.805802291355,191.389153965574,185.011893766206,187.306061799924,185.835621592685,190.045976514001,148.19561767623,162.645944826463,177.380814280038,187.44935228363,215.525570751819,225.302454111201,205.185892764916,208.532179903058,211.582971362377,200.411213716051
"MED134_09156",221.535891651854,241.699035034253,220.346514082323,267.061565908906,261.701376777683,262.461034158564,260.91407697246,251.225212883608,348.40667446187,300.789682591325,313.662403358527,457.766878595615,487.75412373598,479.73349520869,402.979534306286,374.480215339182,242.668155579061,208.235113685121,238.338728786662,256.992184843651,254.307749282993,232.251999168123,261.986343633214,310.478667333769,290.540857823033,324.070297687874,457.406236764869,518.199883412658,463.808111647172,419.849886308437,425.087731892894,421.03474507115,409.372344197257
"MED134_09161",97.8196354890183,102.128268066607,87.707089091452,115.462953936794,124.349508872539,144.4953262873,136.349747675264,122.104126308947,178.16003586238,149.490706181454,174.055157335285,236.358781418536,255.186181217759,245.989302424205,118.570792921777,122.980046691135,88.9058885508383,79.6611764689007,101.325201889312,106.957971732349,110.215281771519,108.243321806715,93.1902925776554,158.275849489485,143.106089033223,156.215397581478,233.370668721237,321.889304235828,143.107212002696,130.563258694761,129.120842282433,126.245489157392,121.75105265777
"MED134_09166",14.0377071467115,13.750904500091,18.1303148936563,14.090371489011,12.6183232251274,16.5132237992491,15.4911973775611,15.0910886710476,11.7271974915804,13.572902090502,12.3604686453512,17.9649875574918,16.3017696557108,17.0327789657088,15.2052235769639,15.4469760302756,13.8906436453224,13.2354382702614,21.6603976483803,12.0986363446634,17.6184151163828,14.0913980877221,13.1251682458884,10.9342562036022,11.719223741855,14.8860100729912,16.3328329171677,20.1340587119737,16.3432470770984,16.7765755273062,17.1825682462679,16.6183906801726,16.3064304613938
"MED134_09171",5.76345245922862,5.37306584512764,7.42693940669999,8.93574841700761,8.36306175373087,9.75251570261534,10.2282857608962,9.17604660208039,8.38120177056769,10.6342865400535,8.5575013224449,17.6069632111381,19.0567588416741,17.9005001457175,13.9296468774457,17.9956648392677,8.78962576884683,5.96188535444076,7.83020881118587,9.1954440840477,9.50304123339693,10.4357920702686,9.73790975254872,9.56159306212429,9.6389983658601,11.4603513683789,17.2730321088974,17.4497101286528,17.5628953398684,17.8420790169602,18.4222011336819,18.3655662961411,16.9204267815603
