index	D_10_R1	D_10_R2	D_10_R3	D_18_R1	D_18_R2	D_18_R3	D_18_R4	D_25_R1	D_25_R2	D_25_R3	D_34_R1	D_34_R2	D_34_R3	D_34_R4	L_10_R1	L_10_R2	L_10_R3	L_18_R1	L_18_R2	L_18_R3	L_18_R4	L_25_R1	L_25_R2	L_25_R3	L_34_R1	L_34_R2	L_34_R3	L_34_R4
MED134_07309	1951140.9876384835	1940601.2453333416	1988158.6731017032	1695180.8811618853	1721332.7469710663	1683973.2167695777	1776376.786078595	1500325.129188712	1435305.1959247196	1743213.788986925	1137706.0196169477	1252116.544420903	1259034.4011567805	1136168.0337763778	1849205.2293747608	1934359.2912029733	2020015.9375667593	1689820.6092936378	1714287.8772051577	1659964.1951262907	1736199.7454224	1490172.3755102747	1435601.372542603	1563936.467874754	933330.6531836323	1074849.8642488038	1114055.59141635	1300126.4446957868
MED134_07304	1458185.0290281698	1534641.4514627056	1488933.180036201	1303528.9553910561	1360628.2736152085	1321912.6278584416	1368090.3709902852	1218062.1112179663	1158283.39462702	1355119.018975745	987130.9146127321	1006017.799469671	1041627.005700586	1178647.695882946	1378734.4432055245	1291724.476674877	1450869.6118916206	1262556.8001427536	1484025.2866674755	1232085.1473633961	1461300.4135777233	1148614.5398111993	1129671.4941922496	1305220.9519986291	881577.221368405	948229.3713104099	1134089.9159965578	1196385.7536872358
MED134_07299	4256687.7877857005	4440010.086509065	3784182.765392146	3789371.21913987	3913568.5535674463	3806746.0004987987	3754204.3130810857	4150716.0953678247	3759282.4126457297	4178518.441579124	4268697.518347146	4578424.876712901	4226134.555800693	3686456.3946369467	4294314.5000079265	3741441.813269234	4166962.9563213885	3655200.418326327	3329368.5578768784	2994606.4780780924	3496910.4551076414	4095669.6716654217	3688849.7851291834	3677094.9678898524	3912783.8267318676	4196187.7502057385	4209953.288456172	4280646.76642175
MED134_07289	1437250.563812067	1520657.023171324	1550533.3838969124	1418549.458588632	1390403.713127813	1457139.5735731188	1301423.459936064	875474.3592062971	1173134.9545925106	3254068.0657662386	5200378.707473575	4737801.999878588	5592918.158929672	2204971.11940307	1528174.3916649818	1444061.8028743146	1368747.7348108487	948655.469319254	1185474.6740967636	1007890.6758932547	1148144.2491684388	1154813.4602866864	979966.442949283	1217584.2097611788	1857963.1270171758	4120584.0009534634	2639071.3359618327	2300398.2156552635
MED134_07284	1108931.8503902	1216258.03092211	1146897.3167931589	1154741.288781424	1034695.0551009924	1265288.5240455624	1069380.947533276	1119494.1120911976	982245.3743004043	1224652.8302867617	1318316.912778199	1338235.1459609512	1378826.4741414867	1135324.4010802163	1146701.4397628524	967906.0018371529	1023185.6821808058	850216.696888281	1152421.0089785457	822834.1814429513	1204215.0516974437	1018219.8350732971	876423.8615821551	982405.0314123665	1055778.1046568365	1141157.4291682173	1176401.322216532	1195865.0543144636
MED134_07279	387102.3770432615	430287.14546055184	637018.4994834317	480473.41764039657	519805.445978767	517923.0579226061	595261.5518106413	560494.3048155225	503068.3582503489	731427.6559029819	797624.019645233	843945.0448657179	929791.8313431707	807682.1685202837	397694.6528259932	377648.8686296877	588604.7805591561	458555.4495407451	586042.3240260241	470688.37787781405	514697.93599269196	501231.55694112676	479382.5096776549	513997.8001973178	695685.8163021291	829099.0919860207	824411.8651935149	712777.6248249148
MED134_07269	693654.9761406216	643739.2296636255	612159.6664498127	843800.2308326472	946442.7097317214	920107.5370884946	985223.5035322224	1038402.9194148052	965177.6236936714	1078459.075970169	1299137.0236523817	1483954.7358518527	1298987.5179958895	1301897.736251397	685410.3686879183	664346.4830159534	648117.4220679257	799528.498939016	889525.9505777919	841152.0459264142	813092.0824521618	1019125.8518796659	958062.6210469292	1013173.9756729224	1242767.253162287	1289152.7671151666	1326195.2587008278	1354597.0205617303
MED134_07264	892961.2387190139	870549.2966028667	1076347.7003763719	1315003.093236803	1317896.5757983571	1293109.6623736287	1360191.018157433	1361442.3597331725	1598575.2468412735	1609571.6337112146	1853417.3840344874	1869908.8806238212	2055396.2869118648	2036574.930301145	873257.2502809414	941395.0368870975	958108.7108791979	1317918.3187705867	1279876.826053394	1470802.2967551693	1349657.1996981658	1462095.8613357493	1446099.371610556	1535540.6143557099	1614464.6222481187	1939506.8661556193	1927538.642008787	1851997.0381948433
MED134_07244	3984749.8215741985	4277576.476743058	4589708.400598588	5732005.569415014	5019771.188075529	6163911.159334729	5342170.344982227	4389778.890678115	4177368.221255977	5604897.553483275	4199236.464054515	3924152.4276773287	4493215.20250722	4159312.6461150306	3029272.561995278	2940904.6510997443	4189578.0525124553	4752283.711823032	5066430.414160467	5135322.017759343	4685344.27441322	3569295.391658542	3527428.6291310126	3672568.1982630035	4040097.8341092607	4547912.274263997	4152690.5941082914	4576770.733131712
MED134_07239	19000.473094092886	16986.492909903533	17737.629150529927	26182.231258201977	24174.32344876081	27829.54475139648	30210.192219138033	38813.04972923518	41665.419204697835	42643.1220680761	54351.191778520835	54448.36463187452	69414.60510552107	72302.0717328226	15371.541106863957	16224.836976735018	20808.632491274515	26001.170198489683	30143.521914913526	29290.515155863966	22646.48616858154	36537.04003098858	45457.29687948394	46378.15325704944	47490.36677537763	60774.38014967097	73215.00649870647	71393.9377570355
MED134_07234	320446.18105880247	321492.42201185646	273217.8844050762	462799.28924573207	432392.75238204777	462959.93779767555	433505.69534035836	563157.0147447	580538.1742521231	667239.4394181321	1018792.6351387792	918790.4311463332	971465.8636475118	699519.2151903933	270966.1107337741	312301.6006306185	326001.9090299674	403865.4760253304	433216.5136745906	395209.7044943385	434719.14686493645	586651.0652862955	523949.04768498405	555218.1355366284	784538.8099224735	837387.4516805809	731037.1332921876	764757.0841687742
MED134_07229	269620.9829744127	239955.9392619233	256464.2192090695	433101.44011802017	423728.07271369157	447543.60687405756	440369.53551658074	509406.34960016207	597892.95180799	595160.7587986354	937608.4645266983	883235.1963342278	932221.2161756587	808229.3080537972	289966.18951636384	287780.8878585241	275672.76324440475	432918.0312255125	400248.0027186768	446143.36334906804	451974.83544967725	560708.0515103015	563978.7549281169	546227.1837934223	760953.9769641343	935626.2216698448	817069.9331110368	787299.8703638026
MED134_07224	34113.20893770905	24627.296024211428	46920.00537479359	35633.68197109439	37142.33096682076	40126.62312224746	49357.027331893165	35198.87910667482	60289.91258726289	42511.100018329744	167667.42862745732	150205.7463260269	154939.81432282418	214215.12325842673	27911.482536147712	29268.333369796503	31022.731320786548	46245.539115161446	50523.95980880244	56525.55556394801	53415.233518623965	40906.67862130202	49756.44433592233	50436.48973161794	230883.5869306087	205824.6835964851	199775.42318419548	147108.40927345076
MED134_07219	1107591.8027239542	1057877.6948180334	1012076.7098339996	1532791.2459818646	1500810.0065870148	1603373.6176705367	1484516.1700433162	1912372.7013051964	1734397.684564821	2309971.7251573475	2333773.5509281503	2424067.8619978125	2438572.3242182313	1949525.898994559	952969.9633835093	1023220.9346080858	932692.848976903	1531590.3603239246	1404414.5108052813	1488504.926200799	1500189.1603729243	1811057.0219904927	1764545.6753378492	1830973.2930052818	1931063.437393891	2003030.7844199496	2287795.8127109027	2203989.10776522
MED134_07214	536006.3604094567	567028.69272952	477402.7894047747	1328187.4338909155	1116984.6788789427	1733281.0264595347	1367175.5772521456	1083120.0296379079	964230.9224816127	1144721.0475146312	1342961.0170080909	1650967.343214989	1619929.0261467514	1046073.8004757086	553490.6224771164	499863.6710347268	543487.189292704	1168275.2893792044	1008542.2341296957	972693.761730314	1076812.9169496289	799583.6741679879	787330.2709222069	725747.9826021373	1369918.898336482	1249825.1190902202	1422362.4341973446	1815616.0175562769
